text,lang,created_at,id,edit_history_tweet_ids,author_id,geo
"RT @thisiscuff: D-8 ⏱ CUFF x Park Art

https://t.co/GgNThQDyyz https://t.co/oC29NXxfPt",en,2022-11-27T20:22:59.000Z,1596962813045788672,['1596962813045788672'],857023663,
"RT @edm_livesets: Artist: Solardo
Show: Sola Radio 025 (Chicks Luv Us Guestmix)
Genre: #House, #TechHouse, #Techno 

https://t.co/ca7305dQ5T",en,2022-11-27T03:15:26.000Z,1596704220472049666,['1596704220472049666'],857023663,
RT @1001tracklists: @Chicks_Luv_Us - Marseille https://t.co/ACHHO61jZ9,fr,2022-11-24T18:07:46.000Z,1595841619504373760,['1595841619504373760'],857023663,
"RT @CHILLLOVERRADIO: 🔔🌏📻🔌 #OnAirNow
Sola Radio 🔴Live!
Hosted by .@solardomusic
Ft Guest Chicks Luv Us
.@Chicks_Luv_Us

Broadcasting now in…",en,2022-11-23T10:40:47.000Z,1595366746390757376,['1595366746390757376'],857023663,
"RT @SolamusicUK: Another week, another epic episode of Sola Radio! 📻 

This week, French talents @Chicks_Luv_Us join @volarismusicofc for a…",en,2022-11-22T18:38:47.000Z,1595124650966913024,['1595124650966913024'],857023663,
Happy to share with you our new podcast for @SolamusicUK from @solardomusic hope you gonna like it 🫶🏻 https://t.co/mgNE9BCR9Q,en,2022-11-18T20:31:56.000Z,1593703576722735104,['1593703576722735104'],857023663,
@solardomusic @SolamusicUK Thanks for having us @solardomusic 🫶🏻🙏🏻,en,2022-11-18T20:31:01.000Z,1593703343888769027,['1593703343888769027'],857023663,
@1001tracklists @solardomusic 🙌🏻❤️,und,2022-11-18T20:30:11.000Z,1593703132617490432,['1593703132617490432'],857023663,
"New release on our Label Encasa from Mene, Aca and Dmitri Saidi 💨

https://t.co/6YRxeNRaRF",en,2022-11-17T18:35:52.000Z,1593311978088534016,['1593311978088534016'],857023663,
RT @purefm_play_bln: 15.11.2022 06:15 : Chicks Luv Us - Dream About You https://t.co/XyND1Brt2r,en,2022-11-16T11:34:33.000Z,1592843561548271617,['1592843561548271617'],857023663,
@Djbenmurphy Another one 😏,en,2022-11-11T12:24:09.000Z,1591044106436087808,['1591044106436087808'],857023663,
Friday ! It’s flights o’clock ✈️,en,2022-11-11T12:23:47.000Z,1591044011263152128,['1591044011263152128'],857023663,
@Dale_Howard 😂,und,2022-11-11T12:22:46.000Z,1591043758833160195,['1591043758833160195'],857023663,
So happy having @JamieJonesMusic supporting our Label CLU RECS 🙌🏻 https://t.co/giGzWHbzia,en,2022-11-08T17:28:34.000Z,1590033550551973888,['1590033550551973888'],857023663,
@Djbenmurphy @JamieJonesMusic Amazing 🙌🏻,en,2022-11-08T17:27:30.000Z,1590033280296181760,['1590033280296181760'],857023663,
"@WillTaylorDJ Ok brothaaaaa, hope soon for you 🤞🏻",en,2022-11-07T10:55:49.000Z,1589572323061170176,['1589572323061170176'],857023663,
@WillTaylorDJ You can’t bro ?,en,2022-11-07T10:40:21.000Z,1589568430323421184,['1589568430323421184'],857023663,
"Monday studio, Tuesday studio, Wednesday studio, Thursday studio, Friday gig, Saturday gig, Sunday sleep 
🔁🔁🔁🔁🔁🔁🔁🔁🔁🔁🔁🔁🔁",en,2022-11-07T10:09:24.000Z,1589560643619033088,['1589560643619033088'],857023663,
"RT @Djbenmurphy: My “Party Wounds” EP is out now on my brothers @Chicks_Luv_Us label @clurecs 🕺🏻 

Massive support on this one! 

Buy link:…",en,2022-11-06T08:28:05.000Z,1589172759154028545,['1589172759154028545'],857023663,
Music is always the answer.,en,2022-11-04T16:46:57.000Z,1588573527287820288,['1588573527287820288'],857023663,
@Guilhermaranha Yeah ahahaha 😂,tl,2022-10-30T14:40:20.000Z,1586729723366875140,['1586729723366875140'],857023663,
@MattSassari Aussi 😂,fr,2022-10-30T14:40:13.000Z,1586729692857499648,['1586729692857499648'],857023663,
Flight / Hotel / Party / Hotel / Flight 🔁,en,2022-10-30T10:26:03.000Z,1586665730698772485,['1586665730698772485'],857023663,
RT @Djbenmurphy: Big love to brother @JamieJonesMusic for charting my track ‘ Hold Up ‘ coming on my brothers @Chicks_Luv_Us label next mon…,en,2022-10-27T19:00:04.000Z,1585707921903878145,['1585707921903878145'],857023663,
@_vitinhop ❤️,und,2022-10-21T00:49:23.000Z,1583259114914086914,['1583259114914086914'],857023663,
TORONTO DEBUT 😍 https://t.co/sNxJMuvMRp,en,2022-09-30T19:17:58.000Z,1575927953745096704,['1575927953745096704'],857023663,
today we lost a brother @jamieroyuk rest in peace 🫶🏻❤️,en,2022-09-21T17:30:20.000Z,1572639375711666177,['1572639375711666177'],857023663,
@sseromusic Ahaha or you 🙃,en,2022-09-20T21:42:14.000Z,1572340382700273674,['1572340382700273674'],857023663,
Life is so precious ✨,en,2022-09-20T21:07:35.000Z,1572331661857271809,['1572331661857271809'],857023663,
@DariusSyrossian 👏🏻👏🏻👏🏻,und,2022-09-19T08:32:44.000Z,1571779311056687105,['1571779311056687105'],857023663,
CURITIBA WE ARE BACK 😍 https://t.co/oooysk0iuf,en,2022-09-13T20:23:03.000Z,1569783740200624128,['1569783740200624128'],857023663,
Check out our last podcast for the big @Hot_Creations 🔥 https://t.co/rM97GgZvAE,en,2022-09-12T13:06:05.000Z,1569311386639155207,['1569311386639155207'],857023663,
Dubai Debut 😍,in,2022-09-07T07:18:58.000Z,1567412092134719489,['1567412092134719489'],857023663,
"RT @Hot_Creations: Tuesday blues ain't a thing when you have @Malikkofficiel and @Chicks_Luv_Us' 10 fave tracks blasting! 

Click below to…",en,2022-09-06T11:29:05.000Z,1567112649376161796,['1567112649376161796'],857023663,
"RT @BBCR1MusicBot: Now Playing Malikk, Chicks Luv Us - Can We Dance #malikk, #chicksluvus",en,2022-09-06T07:52:29.000Z,1567058137462579200,['1567058137462579200'],857023663,
"RT @famousthefabro: Makelene de chicks luv us, ando adicto este track 😭",en,2022-09-02T09:24:01.000Z,1565631624129175552,['1565631624129175552'],857023663,
New Interview about our @Hot_Creations release https://t.co/Rnw5SeHkHm,en,2022-08-30T12:38:22.000Z,1564593368277176323,['1564593368277176323'],857023663,
RT @Hot_Creations: Find out more about our brand new collab between @Malikkofficiel &amp; @Chicks_Luv_Us via their joint interview for @RadioIn…,en,2022-08-30T12:37:55.000Z,1564593255790018562,['1564593255790018562'],857023663,
"RT @Hot_Creations: Follow @JamieJonesMusic on the road whilst rocking to our latest release, 'Can We Dance', by @Malikkofficiel &amp; @Chicks_L…",en,2022-08-30T10:52:52.000Z,1564566819180105730,['1564566819180105730'],857023663,
RT @datatrans: Premiere: Malikk &amp; Chicks Luv Us - Can We Dance [Hot Creations] - https://t.co/D7KfJg5nbO https://t.co/jzsXIEYCat,en,2022-08-27T12:37:07.000Z,1563505891919351808,['1563505891919351808'],857023663,
"RT @JamieJonesMusic: Another jam packed summer weekend on the road! Egypt 🇪🇬 Monaco 🇲🇨 Italy 🇮🇹 Croatia 🇭🇷… Thank you! 🙌🏾 
Today it's Parad…",en,2022-08-26T15:26:46.000Z,1563186195169169408,['1563186195169169408'],857023663,
@JamieJonesMusic @ParadisePrds @Creamfields @Hot_Creations Thanks boss 🙏🏻❤️🌴,en,2022-08-26T15:26:42.000Z,1563186181315014657,['1563186181315014657'],857023663,
"Vient de publier une photo à Ibiza, Spain https://t.co/Er0kEWKv7C",fr,2022-08-26T10:58:57.000Z,1563118798986563584,['1563118798986563584'],857023663,"{'place_id': 'b295da6bc9b98185', 'coordinates': {'type': 'Point', 'coordinates': [1.425775, 38.906141]}}"
"RT @Hot_Creations: 🌴 PREMIERE 🌴

Head to Premiere TBX for the first spin of @Chicks_Luv_Us' 'Makelene' right now! ⬇️

https://t.co/OQY3KUfT…",en,2022-08-25T12:19:26.000Z,1562776662982668290,['1562776662982668290'],857023663,
"RT @Hot_Creations: Head to @techno_mood to find out more about this week's release by @Malikkofficiel &amp; @Chicks_Luv_Us. ⬇️

'Can We Dance'…",en,2022-08-24T16:37:36.000Z,1562479244969938946,['1562479244969938946'],857023663,
"Check out our interview for Techno Mood speaking about our release with @Malikkofficiel on @Hot_Creations out this Friday 26.08

https://t.co/ZhqL4V3CYj",en,2022-08-24T15:45:41.000Z,1562466182531190785,['1562466182531190785'],857023663,
"RT @eletro_vibez: A dupla francesa mais querida no Brasil, o Chicks Luv Us está em turnê pela América Latina e aqui apresentamos mais sobre…",pt,2022-08-22T05:30:06.000Z,1561586487057080320,['1561586487057080320'],857023663,
"A DREAM COME TRUE🌴
Been itching to annonce this one ! 
Since the beginning of our project, this has always been our biggest goal, be part of @Hot_Creations 
Thank you @JamieJonesMusic for trusting in our music 
Release Date: 26/08/22
Link: https://t.co/lAwdKrqNrM https://t.co/kx30b6mAql",en,2022-08-16T19:53:14.000Z,1559629374793580544,['1559629374793580544'],857023663,
@ingridsaantaana You have to learn Ahaha and le learn portuguese 😅,en,2022-08-16T19:28:11.000Z,1559623070603771906,['1559623070603771906'],857023663,
"RT @deelopes_fs: @negolabio Chick luv us, Louie, kanio. Night foi muuuuito básico véi, nada de especial",pt,2022-08-16T19:27:37.000Z,1559622928374943747,['1559622928374943747'],857023663,
@underlinecess 😂😂,und,2022-08-12T12:43:01.000Z,1558071557309841408,['1558071557309841408'],857023663,
@RIKKmusic_ 🔥🔥,und,2022-08-08T23:28:04.000Z,1556784336535437320,['1556784336535437320'],857023663,
@liviamartos Yesss 🙌🏻,und,2022-08-08T19:18:23.000Z,1556721505077264385,['1556721505077264385'],857023663,
RT @KrYpT0NTC: Franceses mais brabos 🔥🔥 https://t.co/7uh5OJCemC,fr,2022-08-08T00:58:12.000Z,1556444634896809985,['1556444634896809985'],857023663,
@classmaticmusic No of course its not everyone but when you meet this kind of people you want to kill them 😂,en,2022-08-05T20:08:19.000Z,1555646907011268617,['1555646907011268617'],857023663,
@classmaticmusic But bro you have to understand that European people are like this unfortunately not all European people are cool … and you guys Brazilians people are just amazing the way you are open and kind 🇧🇷❤️‍🔥,en,2022-08-05T19:50:44.000Z,1555642479185055744,['1555642479185055744'],857023663,
RT @fiojimenezz: each time i close my eyes i’m still the chicks luv us’ gig,en,2022-08-03T19:11:43.000Z,1554907886417022977,['1554907886417022977'],857023663,
@famousthefabro 🫶🏻,und,2022-08-01T22:18:09.000Z,1554230028648456193,['1554230028648456193'],857023663,
@sebrrano 👊🏻👊🏻,und,2022-07-31T16:22:17.000Z,1553778083257126912,['1553778083257126912'],857023663,
San Jose (Costa Rica) Tonight for Pineapple Paradise Party - 4h set let’s gooooo 🔥,en,2022-07-31T01:11:32.000Z,1553548884470906880,['1553548884470906880'],857023663,
@Nikol_Avc Send me your name and mail gonna put you in the guest list,en,2022-07-30T23:41:23.000Z,1553526199707729926,['1553526199707729926'],857023663,
"RT @famousthefabro: Buenos días guapos y guapas, hoy con toda la actitud, recuerden hidratarse y comer muy bien ya que hoy nos espera una g…",es,2022-07-30T15:39:40.000Z,1553404970900377600,['1553404970900377600'],857023663,
@pretty_dafm You have to come then !,en,2022-07-28T22:55:08.000Z,1552789782488547333,['1552789782488547333'],857023663,
@famousthefabro Perfect 🔥,en,2022-07-27T01:37:25.000Z,1552105846330384384,['1552105846330384384'],857023663,
@Kasssiel Love that ! 👊🏻,en,2022-07-27T01:12:51.000Z,1552099666774241282,['1552099666774241282'],857023663,
@famousthefabro See you there !,en,2022-07-27T01:12:33.000Z,1552099590655987712,['1552099590655987712'],857023663,
@famousthefabro We can’t wait for it !!!,en,2022-07-27T01:05:40.000Z,1552097858534268930,['1552097858534268930'],857023663,
If we could we would love at least play 4h each set !!!,en,2022-07-27T00:46:59.000Z,1552093156379791361,['1552093156379791361'],857023663,
@Madrigal8Sofia 😅😂 sorry,en,2022-07-19T10:46:52.000Z,1549345018019725313,['1549345018019725313'],857023663,
Created our own label is one of our best decisions,en,2022-07-07T20:47:49.000Z,1545147598486511617,['1545147598486511617'],857023663,
Quality rather than quantity- ALWAYS !,en,2022-07-05T20:15:39.000Z,1544414727455051777,['1544414727455051777'],857023663,
@classmaticmusic Keep pushing bro u kill it,en,2022-07-03T19:20:26.000Z,1543676057466945536,['1543676057466945536'],857023663,
Big up @LocoDiceOFC for your support 🙏🏻❤️ https://t.co/DcPPijP7KS,en,2022-06-28T20:43:23.000Z,1541884992955076609,['1541884992955076609'],857023663,
"Last night @LocoDiceOFC dropped our last track « Locht » out on our label CLU Recs, thank you boss 🫶🏻 https://t.co/fkors6UA2F",en,2022-06-25T15:53:04.000Z,1540724767853932545,['1540724767853932545'],857023663,
"RT @Djbenmurphy: Friday in Marseille was truly special at the @clurecs showcase at @babyclub.ofc 😍

Thank you to my brothers @Chicks_Luv_Us…",en,2022-06-20T23:57:40.000Z,1539034782083997696,['1539034782083997696'],857023663,
