id,author_id,edit_history_tweet_ids,text,lang,created_at
1597068193440632833,560459880,['1597068193440632833'],"@andrearthurciel Je serais curieux de connaître son avis sur les sprinklers, qui monopolisent une grande quantité de métal, qui ne servent que 0,00001% du temps, quand ils servent, qui coûtent cher à installer et qui fuient et causent des dégats.",fr,2022-11-28T03:21:44.000Z
1597066764902625280,560459880,['1597066764902625280'],RT @MagChange_73: Vous remarquerez que les 'antifachistes' comme le troupeau ne mentionnent pratiquement rien des soulèvements des citoyens…,fr,2022-11-28T03:16:03.000Z
1597046163936452613,560459880,['1597046163936452613'],@guyalepage @elonmusk #Fragile.,und,2022-11-28T01:54:11.000Z
1597033238006239233,560459880,['1597033238006239233'],"RT @branislavmilic: Une vidéo circule où l’on voit un supporter marocain arracher un drapeau belge accroché à la terrasse d’un appartement,…",fr,2022-11-28T01:02:50.000Z
1597030674321801216,560459880,['1597030674321801216'],@BrainlessMonkez Ils disent toujours l'exact contraire de la réalité.,fr,2022-11-28T00:52:38.000Z
1597010256898686978,560459880,['1597010256898686978'],@FHovington @Incertaine44 Gros toutou cute!,fr,2022-11-27T23:31:30.000Z
1596985216286937089,560459880,['1596985216286937089'],"@FHovington @Incertaine44 Elle les a déjà montrées tu sais:
https://t.co/mNCDB5y5Ub",fr,2022-11-27T21:52:00.000Z
1596984417201041409,560459880,['1596984417201041409'],@dystoman https://t.co/iTpEbhYNOa,qme,2022-11-27T21:48:50.000Z
1596982955247046656,560459880,['1596982955247046656'],"@otofotoloto @Humanist_me @avalaina Some are diesel-electric but most are electric.
https://t.co/jAlLBpUEfH",en,2022-11-27T21:43:01.000Z
1596962767936061444,560459880,['1596962767936061444'],"@squatsons @GeromanAT Every time I look at my dog, I think of Geran-2: she's a Labradors and her ears are like doritos!",en,2022-11-27T20:22:48.000Z
1596961391574806528,560459880,['1596961391574806528'],"Avec l'obstination de la ""communauté internationale"" (OTAN) à ne pas voir les crimes de guerre et les crimes contre l'humanité de l'ukraine depuis 8 ans, on peut bien parler de complicité, c'est fondé. https://t.co/n6R6XI7eMh",fr,2022-11-27T20:17:20.000Z
1596960987369721857,560459880,['1596960987369721857'],"@MrPabi T'as pas d'affaire là mon Martinez, c'est écrit ""pas de tocard"".",fr,2022-11-27T20:15:44.000Z
1596959748720852992,560459880,['1596959748720852992'],"@otofotoloto @Humanist_me @avalaina Have you ever been in the military? I guess not because you wouldn't say that.
Espacially in ukraine were the railroads are electrified and without power, no train can move.
""But it's still  war crime"" I hear you while whinning. Every breath taken by a russian is a war crime.",en,2022-11-27T20:10:48.000Z
1596934092901486592,560459880,['1596934092901486592'],"Note: j'ai écrit ""guy"" au lieu de ""gui"" intentionnellement.",fr,2022-11-27T18:28:52.000Z
