edit_history_tweet_ids,withheld,text,id,created_at,author_id,lang
['1596984026648129536'],"{'copyright': False, 'country_codes': ['IN']}","RT @cjwerleman: 17th August: Pakistan Army Chief General Bajwa visited UAE to receive Order of the Union.

19th August: UAE advises Pakista…",1596984026648129536,2022-11-27T21:47:17.000Z,768664173744103424,en
['1596975821260218368'],,RT @ImranRiazKhan: ن لیگ کے خلاف مخالفین کو کمپین ہی نہیں کرنا پڑتی۔ صرف اتنا پوچھتے ہیں کہ بڑے میاں صاحب کہاں ہیں؟ اور الیکشن فارغ 😂🤣😂🤣,1596975821260218368,2022-11-27T21:14:40.000Z,768664173744103424,ur
['1596975337442713601'],"{'copyright': False, 'country_codes': ['IN']}",RT @tonyashai: This is @ImranKhanPTI s sister #AleemaKhanum picking up garbage from the protest site. You still have “Hope” &amp; you still hav…,1596975337442713601,2022-11-27T21:12:45.000Z,768664173744103424,en
['1596975141245767681'],,RT @ak_niaazi: Mateen here questions why did he not show a private video to the senate committee. I won't argue with someone who thinks lik…,1596975141245767681,2022-11-27T21:11:58.000Z,768664173744103424,en
['1596973296523694080'],,"RT @Atifq186: #پاکستانیوں_سنو_زرا
ایجنسیاں اس دور میں وہ حربے
استعمال کر رہی ہیں کے جو برطانوی
اور مغربی  ایجنسیاں  پچھلی  صدی
میں استعمال…",1596973296523694080,2022-11-27T21:04:38.000Z,768664173744103424,ur
['1596972960522588162'],,"RT @ImranARaja1: “ایسے بندے کسی چوہدری کے ڈیرے پر غلطی سے کرسی پر بیٹھنے لگیں تو انہیں جوتیاں مار کے اٹھا دیا جاتا ہے کہ دور جا کے بیٹھو”
۔…",1596972960522588162,2022-11-27T21:03:18.000Z,768664173744103424,ur
['1596972792343166976'],,RT @Zyyan_Ali: کاشف عباسی اعظم سواتی کی گرفتاری پر کھل کے بول گیا بدلے نہیں لیے جاتے👏 https://t.co/SqTsvbQuc6,1596972792343166976,2022-11-27T21:02:38.000Z,768664173744103424,ur
['1596970873357217794'],,RT @haroon_natamam: آزاد کشمیر میں پی ٹی آئی کی اکثریت ہوتی لیکن سردار تنویر الیاس ' علی امین گنڈا پور اور اندرونی اختلافات لے بیٹھے' نکمی…,1596970873357217794,2022-11-27T20:55:01.000Z,768664173744103424,ur
['1596970627390648320'],,RT @ImranRiazKhan: میں انسانی حقوق کے خود ساختہ چیمپیئن بلاول زرداری کو اپنے صوبے میں پچہتر سالہ سینیٹر پر ایک رات میں 2 درجن مقدمات درج کر…,1596970627390648320,2022-11-27T20:54:02.000Z,768664173744103424,ur
['1596969305840619520'],,"Almost Drafted the letter ✉️ and will post it tomorrow at supreme court of Pakistan postal address""Constitution Ave,G-5/2 Red zone, Islamabad""
#JusticeForArshadSharif https://t.co/ZcYgHY4qjd",1596969305840619520,2022-11-27T20:48:47.000Z,768664173744103424,en
