lang,text,geo,author_id,created_at,id,edit_history_tweet_ids
en,I can attest. Throws you around like a rag doll #dollywood #thunderhead https://t.co/lIFip5Vr8q,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T23:22:34.000Z,1597008008504311809,['1597008008504311809']
en,RT @nickwilkeswx: Ping ping ball sized hail in California! @NWSPittsburgh https://t.co/hdzCykE0jx,,53622291,2022-11-27T22:13:03.000Z,1596990513949073408,['1596990513949073408']
en,@MarshallMoss @WxLiz @Rosievortwx @VinceWaelti @BrandonCopicWx @tornadopaigeyy What did you see from it?,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T22:12:03.000Z,1596990262072733697,['1596990262072733697']
en,@WxLiz @Rosievortwx @VinceWaelti @BrandonCopicWx @tornadopaigeyy One of those cells must have briefly pulsed up tall enough to get that large of hail. They collapsed quickly in C PA,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T21:47:49.000Z,1596984162338369536,['1596984162338369536']
en,@marcusreynold19 @BrandonLaneVC Those higher dews look to hold off til later in the day if this HRRR run around 1pm EST verifies https://t.co/iujNfUuJFN,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T21:12:32.000Z,1596975281222615040,['1596975281222615040']
en,@ryanhallyall Already two inch hail confirmed in SW PA,,53622291,2022-11-27T20:32:46.000Z,1596965276913762304,['1596965276913762304']
en,Whoa SW PA! @Rosievortwx @VinceWaelti @BrandonCopicWx @tornadopaigeyy @WxLiz https://t.co/x7yoePp5GG,{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:31:32.000Z,1596964965956845569,['1596964965956845569']
en,@tornadopaigeyy @Rosievortwx Someone on my fb said a friend of his sent him a pic of 2 inch hail 😳,{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:29:58.000Z,1596964570345922560,['1596964570345922560']
en,"If you want to have a good day riding coasters at Six Flags Magic Mountain, I’d reschedule https://t.co/czLj3phSns",{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:21:17.000Z,1596962386791235584,['1596962386791235584']
en,@screamscape Has it EVER been that bad? Lawd have mercy,{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:20:41.000Z,1596962232642195456,['1596962232642195456']
en,@daveexplains Not to mention this lol,{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:17:33.000Z,1596961447887925248,['1596961447887925248']
en,"@daveexplains As a weather enthusiast, I see evidence all of the time of a spherical earth. I’d love to see the flerfs try to explain these away",{'place_id': '0fca31f1aec6d752'},53622291,2022-11-27T20:16:50.000Z,1596961265657982976,['1596961265657982976']
en,@rscadence The whole thing started with a vast misunderstanding and piledriving with biblical text. Beyond humorous,,53622291,2022-11-27T20:15:11.000Z,1596960851386585090,['1596960851386585090']
en,@tornadopaigeyy @Rosievortwx Same lol! I’ve been pointing out to people the setup today is far more marginal than the setups for the lower MS/TN/OH VLYS for Tuesday afternoon into Wednesday morning and look even what it’s doing now,{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:59:46.000Z,1596956971663757312,['1596956971663757312']
en,"@tornadopaigeyy @Rosievortwx Welps, craps lol. They are moving kind of fast so probably would have been one shot at an intercept and then they gone",{'place_id': '51c79a6ebcc5ba2b'},53622291,2022-11-27T19:55:18.000Z,1596955847124742144,['1596955847124742144']
