lang,geo,edit_history_tweet_ids,text,author_id,id,created_at
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.000868, 40.759532]}, 'place_id': '01a9a39529b27f36'}",['1597078809190203392'],Cleared: Closure on #LincolnTunnel WB from New York Side to New Jersey Side,52272942,1597078809190203392,2022-11-28T04:03:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.965394, 40.800697]}, 'place_id': '01a9a39529b27f36'}",['1597078557729382400'],Updated: Incident on #M11Bus NB from Amsterdam Av/W 106 St to Amsterdam Av/W 120 St https://t.co/uMO4hxNOCd,52272942,1597078557729382400,2022-11-28T04:02:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.00336, 40.760508]}, 'place_id': '4734ece701deea3b'}",['1597078557381087232'],Closure on #LincolnTunnel WB from New York Side to New Jersey Side https://t.co/CirItNUN7k,52272942,1597078557381087232,2022-11-28T04:02:55.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.000868, 40.759532]}, 'place_id': '01a9a39529b27f36'}",['1597078556588253184'],Closure on #LincolnTunnel WB from New York Side to New Jersey Side https://t.co/85CPeLDqlN,52272942,1597078556588253184,2022-11-28T04:02:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.965394, 40.800697]}, 'place_id': '01a9a39529b27f36'}",['1597078553597730816'],Cleared: Incident on #M11Bus NB from Amsterdam Av/W 106 St to Amsterdam Av/W 120 St,52272942,1597078553597730816,2022-11-28T04:02:54.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.999729, 40.734143]}, 'place_id': '01a9a39529b27f36'}",['1597078552679096320'],Cleared: Incident on #M8Bus WB from Greenwich St/Christopher St to W 10 St/7 Av S,52272942,1597078552679096320,2022-11-28T04:02:53.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.820692, 40.869102]}, 'place_id': '27485069891a7938'}",['1597075661201580037'],Incident on #HutchinsonRiverParkwayNYC NB at Baychester Avenue https://t.co/SIZn9eRgk9,52272942,1597075661201580037,2022-11-28T03:51:24.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.981233, 40.577422]}, 'place_id': '011add077f4d2da3'}",['1597073720983621638'],Cleared: Incident on #FLine from Coney Island - Stillwell Av to Jamaica - 179 St,52272942,1597073720983621638,2022-11-28T03:43:41.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.972972, 40.740228]}, 'place_id': '01a9a39529b27f36'}",['1597073502888431617'],Incident on #FranklinDRooseveltDrive SB at 30 Street https://t.co/tKu94ptLzF,52272942,1597073502888431617,2022-11-28T03:42:49.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-74.008132, 40.654003]}, 'place_id': '011add077f4d2da3'}",['1597073499398569986'],Cleared: Incident on #I278 WB at Exit   - 38th Street; Sunset Park Industrial Park,52272942,1597073499398569986,2022-11-28T03:42:49.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.850942, 40.737526]}, 'place_id': '00c39537733fa112'}",['1597073145298669569'],Incident on #I495 EB at Exit 22B - Van Wyck Expwy I-678 / College Point Blvd https://t.co/IJdDT11Osv,52272942,1597073145298669569,2022-11-28T03:41:24.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",['1597071081025994754'],Updated: Incident on #B11Bus EB at 50 St/13 Av https://t.co/OL5NtlyX3W,52272942,1597071081025994754,2022-11-28T03:33:12.000Z
en,"{'coordinates': {'type': 'Point', 'coordinates': [-73.992311, 40.634173]}, 'place_id': '011add077f4d2da3'}",['1597069987528818690'],Cleared: Incident on #B11Bus EB at 50 St/13 Av,52272942,1597069987528818690,2022-11-28T03:28:51.000Z
