lang,id,text,created_at,author_id,edit_history_tweet_ids
en,1597077721326424066,"RT @Benton_Mike: The Seattle Kraken are now four points out of first place, behind the Vegas Golden Knights.",2022-11-28T03:59:35.000Z,1909477267,['1597077721326424066']
en,1597072659476807681,@GlauserDan13 They keep winning. https://t.co/CBnl4EW9wL,2022-11-28T03:39:28.000Z,1909477267,['1597072659476807681']
und,1597072585476669440,RT @SeattleKraken: #SeaKraken WWWWWIN!!! https://t.co/K7tv52nMqb,2022-11-28T03:39:11.000Z,1909477267,['1597072585476669440']
en,1597072284262731777,RT @SeattleKraken: We got a special intermission for y’all! #SeaKraken broadcasters @JohnForslund &amp; @JTBrown23 are stepping in to answer al…,2022-11-28T03:37:59.000Z,1909477267,['1597072284262731777']
en,1597057577300692992,"RT @Number10cat: Don’t look back in anger…
(Photo @PoliticalPics) https://t.co/Mn3ySF3YhI",2022-11-28T02:39:32.000Z,1909477267,['1597057577300692992']
en,1597057195388325889,"RT @jonslater37: Beautiful rare Coyamito agate from the deserts of Mexico, the only place it can be found on earth! 
(Sara Wiley) https://t…",2022-11-28T02:38:01.000Z,1909477267,['1597057195388325889']
en,1597041142482472960,"RT @CrumblCookies: You'll want to cozy up with this week's lineup! 🤗 Nov 28 - Dec 3: 👇

🍋 LEMON CRINKLE
🥧 BOSTON CREAM PIE
🍰 GINGERBREAD CA…",2022-11-28T01:34:14.000Z,1909477267,['1597041142482472960']
qam,1597018847739285504,@GlauserDan13 https://t.co/3vvdMfH4mm,2022-11-28T00:05:39.000Z,1909477267,['1597018847739285504']
en,1597018787706200064,"RT @PepomintNarwhal: #HOLIDAY #FaLaLaLaLaLar 
#LarGibbon

THANKFUL Sale - 20% Off Everything!
use code: THANKS20 at checkout.
FINAL WEEKEND…",2022-11-28T00:05:24.000Z,1909477267,['1597018787706200064']
qam,1597004980178649089,@GlauserDan13 https://t.co/UI8c9DuWKk,2022-11-27T23:10:32.000Z,1909477267,['1597004980178649089']
en,1597004839019372544,"RT @MichaelWarbur17: A fascinating look at how DISNEY have reused and recycled scenes in their animated Films across the decades.

 https:/…",2022-11-27T23:09:59.000Z,1909477267,['1597004839019372544']
en,1597004410869075969,"RT @PepomintNarwhal: #Mustaches #BeardedBellbird 
THANKFUL Sale - 20% Off Everything!
use code: THANKS20 at checkout.
FINAL WEEKEND! - Sale…",2022-11-27T23:08:17.000Z,1909477267,['1597004410869075969']
en,1597004008668864512,RT @CPFoodBlog: Every park needs a Grain &amp; Grill; the crispy pork still lives up to the hype. #KingsDominion #Winterfest https://t.co/VDQLM…,2022-11-27T23:06:41.000Z,1909477267,['1597004008668864512']
en,1597003938678865920,"RT @ColumbusZoo: 🎄Wildlights, efficiently powered by @AEPOhio, is jam-packed with exciting attractions, including the Sparkling Spruce. Thi…",2022-11-27T23:06:24.000Z,1909477267,['1597003938678865920']
en,1597003908940849153,"RT @PepomintNarwhal: #Endangered #Dhole 
THANKFUL Sale - 20% Off Everything!
use code: THANKS20 at checkout.
FINAL WEEKEND! - Sale Ends 11/…",2022-11-27T23:06:17.000Z,1909477267,['1597003908940849153']
en,1596997136125947905,RT @worldbirds32: Common Green Magpie (Cissa chinensis)🐦🦜🕊️🐍🎵🐤❤️🐤 https://t.co/ltHSFky3M5,2022-11-27T22:39:22.000Z,1909477267,['1596997136125947905']
et,1596996839815143425,RT @worldbirds32: Palm Tanager (Thraupis palmarum)🐦🦜🕊️🎵❤️ https://t.co/j5TptANACe,2022-11-27T22:38:12.000Z,1909477267,['1596996839815143425']
en,1596996597677953024,@pie1883 At least you don’t have a Weeping Angel. It might attack you.,2022-11-27T22:37:14.000Z,1909477267,['1596996597677953024']
en,1596996253178818560,@GlauserDan13 The skunk left the stadium his/herself. There is video on Facebook. https://t.co/KHv4JdHu4m,2022-11-27T22:35:52.000Z,1909477267,['1596996253178818560']
en,1596983947195711488,"RT @BeschlossDC: In 1790, President George Washington wrote to Jewish congregations of Newport, Rhode Island, that the United States Govern…",2022-11-27T21:46:58.000Z,1909477267,['1596983947195711488']
en,1596983850298527744,RT @jonslater37: Moth with a Chicken Face (@animallife) https://t.co/kT0UPkTMy3,2022-11-27T21:46:35.000Z,1909477267,['1596983850298527744']
en,1596983814353747969,RT @buitengebieden: Garfield in real life.. 😅 https://t.co/B9bkjYvEHI,2022-11-27T21:46:26.000Z,1909477267,['1596983814353747969']
