id,author_id,created_at,text,edit_history_tweet_ids,lang,withheld
1596965507793833984,107549814,2022-11-27T20:33:41.000Z,RT @Seeker: Sea level rise will threaten 90% of major cities in the coming decades. https://t.co/927MtwYWtm,['1596965507793833984'],en,
1596962546761617409,107549814,2022-11-27T20:21:55.000Z,"RT @PopSci: You've got some maintenance to do. But don't worry, it's easy. https://t.co/X8alahafW1",['1596962546761617409'],en,
1596962259678683136,107549814,2022-11-27T20:20:47.000Z,"RT @Reuters: ICYMI: An early winter ‘lake effect’ storm dumped two feet or more of snow on parts of western New York state, disrupting trav…",['1596962259678683136'],en,
1596625704241991680,107549814,2022-11-26T22:03:26.000Z,RT @TrueNorthCentre: A study of academic and energy sector expert perspectives found that Canada can displace half of Russia’s energy expor…,['1596625704241991680'],en,
1596571979716468739,107549814,2022-11-26T18:29:57.000Z,"RT @CNET: If you live somewhere cold and you love Star Wars, you'd better get ready to make a big purchase. https://t.co/e6c0OKl11c",['1596571979716468739'],en,
1596278788228538370,107549814,2022-11-25T23:04:55.000Z,@MeanwhileinCana Really? So how does it work ?,['1596278788228538370'],en,
1596277022212456448,107549814,2022-11-25T22:57:54.000Z,RT @elobservatodo: Paro de camioneros: Caravana genera taco de proporciones en la región de Coquimbo https://t.co/HfPmzE1JLW https://t.co/t…,['1596277022212456448'],es,
1596276970987393029,107549814,2022-11-25T22:57:41.000Z,RT @eldia_cl: 🔴 Caso La Polar: así era el cargamento de ropa falsificada que importó la multitienda #ElDíaInforma  👉 https://t.co/wNoAITmUH…,['1596276970987393029'],es,
1596276257364529152,107549814,2022-11-25T22:54:51.000Z,@TrainingMindful So true 🙏🏻,['1596276257364529152'],en,
1596276245880532992,107549814,2022-11-25T22:54:49.000Z,RT @TrainingMindful: “A calm and modest life brings more happiness than the pursuit of success combined with constant restlessness.” ~ Albe…,['1596276245880532992'],en,
1596276210040209408,107549814,2022-11-25T22:54:40.000Z,RT @PeelPolice: https://t.co/EFdbXcgYFA,['1596276210040209408'],zxx,
1596275931190009859,107549814,2022-11-25T22:53:34.000Z,@MagoInmortal @ennyne @EarthquakeChil1 Jajajaj noooo!!!!!,['1596275931190009859'],es,
1595604911001067520,107549814,2022-11-24T02:27:10.000Z,"RT @DavidSuzukiFDN: ""As a host country that’s failing in many ways to protect and restore its vast, diverse ecosystems, Canada has a large…",['1595604911001067520'],en,
1595604856114483201,107549814,2022-11-24T02:26:57.000Z,"RT @newscientist: The precise details of how sodium chloride dissolves into water have long been a mystery, but now machine learning has re…",['1595604856114483201'],en,
