id,author_id,created_at,text,edit_history_tweet_ids,lang,geo
1597030413641216000,720365641216098307,2022-11-28T00:51:36.000Z,"@KariLakeWarRoom Election was over, get over n move on.",['1597030413641216000'],en,
1596971927154749440,720365641216098307,2022-11-27T20:59:12.000Z,"This time Democrats won under Republican own terms. That's why two Republican governor congratulated Katie Hobbs. Frankly, I'm sick n tired hearing these bunch of losers.",['1596971927154749440'],en,{'place_id': '0de4c71dbfcd2c32'}
1596971925514817536,720365641216098307,2022-11-27T20:59:12.000Z,"These is a direct attack not only to US constitution n also to the American people. Two Republicans in governorship was elected twice n we never question the authenticity of the certification. Since 2020, the state Republican made changes on Arizona election.",['1596971925514817536'],en,{'place_id': '0de4c71dbfcd2c32'}
1596971923673477121,720365641216098307,2022-11-27T20:59:11.000Z,"In 2020, Arizona rejected Donald Trump of second term. But the state Republican insisted to recount the ballots using inexperience Ninja. They found 500 more votes for Joe Biden. Now Arizonans rejected Kari Lake they want again a recount.",['1596971923673477121'],en,{'place_id': '0de4c71dbfcd2c32'}
1596964428490371072,720365641216098307,2022-11-27T20:29:24.000Z,@AvilaBeach @KariLakeWarRoom That was Kari Lake lost the election n her dumb followers😂🤣😂,['1596964428490371072'],en,
1596963964038283264,720365641216098307,2022-11-27T20:27:33.000Z,@Atome00415340 @KariLakeWarRoom 🤣😂🤣That was the first defeat. https://t.co/D5CB3fz94U,['1596963964038283264'],en,
1596963282090225664,720365641216098307,2022-11-27T20:24:51.000Z,@KariLakeWarRoom Losing the election was hard but acting like bunch of loser is funny n embarrassing. It's mark in your forehead😂🤣😂 https://t.co/X966Du3JGO,['1596963282090225664'],en,
1596925637293330432,720365641216098307,2022-11-27T17:55:16.000Z,"@china_protest No public election in China, so the people r shit out of luck.",['1596925637293330432'],en,
1596924553506086913,720365641216098307,2022-11-27T17:50:57.000Z,@RonFilipkowski Why I'm listening to this trash.?,['1596924553506086913'],en,
1596924202275127297,720365641216098307,2022-11-27T17:49:33.000Z,@RepGosar 50 of Jan6 rioter which half get house arrest. That actually a country not punishment. Gossar hasn't seen what harsh mean n he is full of💩💩💩.,['1596924202275127297'],en,{'place_id': '0de4c71dbfcd2c32'}
1596921997325668353,720365641216098307,2022-11-27T17:40:48.000Z,@RonFilipkowski Many men n women fought n died to protect our nation. Don't say none of it matter. I carry everyday the American flag across the globe to show our sacrifices for Democracy. To suggest to go easy with this traitors r insulting to the core we pledge the legion.,['1596921997325668353'],en,
1596920877148303361,720365641216098307,2022-11-27T17:36:21.000Z,@RonFilipkowski They r traitors to the Republic n they must punish according to our laws. They r terrorists nothing more n they should be treated like a terrorist. They stab the heart of our Democracy n never forget that.,['1596920877148303361'],en,
1596919777930268674,720365641216098307,2022-11-27T17:31:59.000Z,"@nytimes If Chinese want country change, then start from the government. Communist era is long over.",['1596919777930268674'],en,
1596918231121375232,720365641216098307,2022-11-27T17:25:50.000Z,"@azinthegarden @azcentral You missing the point, America always been great. What do you mean putting America first? You shop at Walmart or anything made overseas. That's hypocrisy.",['1596918231121375232'],en,
1596917519465385986,720365641216098307,2022-11-27T17:23:00.000Z,@azcentral They're all little maga not mega anymore. Many of them r in jail for attacking the Capitol last Jan6. Soon Trump days nearly over.,['1596917519465385986'],en,
1596916420511600641,720365641216098307,2022-11-27T17:18:38.000Z,Kanye West speaks out about Trump's dinner with Holocaust denier https://t.co/Rf3XfQCM3G via @YouTube Trump n other white people laughing naive Kenye West n Mexican Nick Fuentes making embarrassing Holocaust remarks. These two dumb people reflect us if we don't correct stupidity.,['1596916420511600641'],en,{'place_id': '0de4c71dbfcd2c32'}
1596900266598576128,720365641216098307,2022-11-27T16:14:27.000Z,"Nick Fuentes Bio, Age, Parents, Ethnicity, Wife, Children, Net Worth, Height https://t.co/LDz2U81Nmy Mexican ethnicity.",['1596900266598576128'],en,{'place_id': '0de4c71dbfcd2c32'}
1596897050569764864,720365641216098307,2022-11-27T16:01:40.000Z,@RonFilipkowski They serve alcohol in jail?,['1596897050569764864'],en,
1596711182349791232,720365641216098307,2022-11-27T03:43:05.000Z,@jasonselvig I don't think it's legal for under 18 to own AR15.,['1596711182349791232'],en,
1596709851123458048,720365641216098307,2022-11-27T03:37:48.000Z,"@DaveKnight1776 @jasonselvig I like to see you run when gun man start shooting. The police wouldn't allow with guns inside crime scene. It happen in Uvalde school, parent with guns tried to save their kids.2nd Amendment did not said including children. Your making up your own version of Constitution.",['1596709851123458048'],en,
1596707518398738432,720365641216098307,2022-11-27T03:28:32.000Z,@Briislostagain @jasonselvig That country has no functional government. It's run by warlords.,['1596707518398738432'],en,
1596706900946538496,720365641216098307,2022-11-27T03:26:05.000Z,"@jasonselvig She think it's cool her kids carrying AR15. Nope, it's lunatic.",['1596706900946538496'],en,
1596706140384993285,720365641216098307,2022-11-27T03:23:03.000Z,"@MaryaMahtini @patriottakes All this Kari Lake bs is about Trump loosing Arizona in 2020 election. If she can prove election was rig, it will give them the argument that Trump did won. Which will not going to happen. Trump n Kari Lake are both losers hall of fame.",['1596706140384993285'],en,
