lang,id,text,edit_history_tweet_ids,author_id,created_at,geo
ur,1596961375380967424,"RT @PTIKPOfficial: شکریہ آزاد کشمیر. کشمیر نے بھی پی ڈی ایم کی شکست کا اعلان کردیا۔ پی ٹی آئی سب سے آگے۔
#کشمیر_کپتان_کا https://t.co/hzEGm…",['1596961375380967424'],589289053,2022-11-27T20:17:16.000Z,
zxx,1596961350059982850,RT @ShkhRasheed: https://t.co/aHj0VDPCc1,['1596961350059982850'],589289053,2022-11-27T20:17:10.000Z,
en,1596961324529246208,RT @soldierspeaks: Sources claim that Kunwar Dilshad ex secretary Election Commission has been asked to go in media and promote narrative t…,['1596961324529246208'],589289053,2022-11-27T20:17:04.000Z,
en,1596961264709685250,"RT @BrigAshfaqHasan: *Great moment.*
*First time in world's *History.*
*Whole Qatar FIFA stadium sung together unitedly in favour of Palest…",['1596961264709685250'],589289053,2022-11-27T20:16:50.000Z,
ur,1596961155397783553,"RT @YarMKNiazi: مبارکباد!

پاکستان تحریک انصاف نے آزاد جموں کشمیر کے بلدیاتی انتخابات میں مظفر آباد ڈویژن میں ضلع کونسل کی نشستو‌ں پر میدان…",['1596961155397783553'],589289053,2022-11-27T20:16:24.000Z,
en,1596961099970416640,"RT @TRTWorldNow: Former Pakistani PM Imran Khan says his PTI party will quit the current political system, calling it corrupt https://t.co/…",['1596961099970416640'],589289053,2022-11-27T20:16:10.000Z,
ur,1596961063014371328,"RT @Tayyabinf: خان کی حکومت گرانا ہو یا اسکو گولی مارنا

ارشدکو قتل کرنا ہو یا لوٹوں کو نواز کی جھولی میں ڈالنا

انسانی حقوق کو پاؤں تلے رو…",['1596961063014371328'],589289053,2022-11-27T20:16:02.000Z,
ur,1596961019813036032,RT @ImranRiazKhan: ایسے انصاف مانگیے۔ اللہ رب العزت ہمارا ساتھ دے گا۔ https://t.co/aSZ4drgaj9,['1596961019813036032'],589289053,2022-11-27T20:15:51.000Z,
en,1596960736588140544,"RT @PTIKPOfficial: ""DG ISPR and Interior Minister told us that Arshad Shaheed stayed in Dubai till his visa expired, which is not true. His…",['1596960736588140544'],589289053,2022-11-27T20:14:44.000Z,
ur,1596960107530944514,"RT @asimawan13: پروفیسر صاحب سلیس زبان میں بہت کچھ کہہ گئے 👍
⁦@SHABAZGIL⁩ https://t.co/gvXxO4TTxO",['1596960107530944514'],589289053,2022-11-27T20:12:14.000Z,
ur,1596959117171601408,"RT @saudkhanx7: ہے حق ھمارا آزادی ہم چین کے لے گے آزادی
🇵🇰
#ملتے_ہیں_پنڈی_میں
@ImranKhanPTI https://t.co/GKmmhjY0BD",['1596959117171601408'],589289053,2022-11-27T20:08:18.000Z,
ur,1596958995344142336,"RT @HShaukatAliPTI: اظہار تشکر !!

حلقہ این اے 31 پشاور کے غیور عوام اور پارٹی کارکنان کا دل سے شکریہ ادا کرتا ہوں جنہوں نے کثیر تعداد میں…",['1596958995344142336'],589289053,2022-11-27T20:07:49.000Z,
ur,1596927549648822272,RT @AonAbbasPTI: سواتی صاحب نے صرف اتنا ہی پوچھا تھا کہ اربوں کے اثاثے کہاں سے آئے؟ جواب دینے کی بجائے اعظم سواتی کو گرفتار کر لیا۔کیا کبھی…,['1596927549648822272'],589289053,2022-11-27T18:02:51.000Z,
ur,1596927394635386881,RT @adeelraja: آخر کب تماشہ ختم ہو گا!  https://t.co/Eysb1lCuGL,['1596927394635386881'],589289053,2022-11-27T18:02:15.000Z,
ur,1596927364415750153,RT @usmanbullet2: نیوٹرل کا سیاست سے تعلق ہے یا نہیں عمران ریاض خان نے عوام سے پوچھ لیا https://t.co/g0ONuJKjyQ,['1596927364415750153'],589289053,2022-11-27T18:02:07.000Z,
ur,1596927320463355904,RT @Asad_Umar: اعظم سواتی کا کیس بنیاد بنے گا کے طاقتور اداروں کے بڑے عہدوں پر بیٹھنے والوں کو کیا کہا جا سکتا ہے اور کیا نہیں. یہ بھی ہمیش…,['1596927320463355904'],589289053,2022-11-27T18:01:57.000Z,
en,1596927240859549697,"@SamarHBilour Mam, from where you are contesting election this time? https://t.co/kvZfzXFbce",['1596927240859549697'],589289053,2022-11-27T18:01:38.000Z,{'place_id': '003faa615af988db'}
ur,1596926840073252864,RT @_samadkhan: تاریخ میں پہلی بار کوئی سیاستدان اسٹیبلشمنٹ سے ذیادہ طاقتور ہوا ھے۔ اس وقت اسٹیبلشمنٹ عمران خان کے سامنے بالکل بےبس نظر آ ر…,['1596926840073252864'],589289053,2022-11-27T18:00:02.000Z,
ur,1596926773031116800,"RT @ImranKhanRiaz1: جمیل فاروقی بھائی!
ایک نیوٹرل  ٹویٹ کرکے PDM کو ریلکس کریں، بیچاروں نے کل سے سکون کی سانس نہیں لی🤣
@FarooquiJameel http…",['1596926773031116800'],589289053,2022-11-27T17:59:46.000Z,
ur,1596926594844852224,RT @Rajpoot15Warda: میں اس قوم اور امت کی بیٹی ظلم کے خلاف اعظم سواتی کے ساتھ ہوں۔ #ReleaseAzamSwati,['1596926594844852224'],589289053,2022-11-27T17:59:04.000Z,
en,1596926536342724614,"RT @HniaziISF: DG FIA Mohsin Butt who also served in balochistan at the same time, is personal servant of faisal.Hence these fake FIRs agai…",['1596926536342724614'],589289053,2022-11-27T17:58:50.000Z,
en,1596926449465757697,"RT @CipheredWords: One of the most beautiful videos on Twitter.

https://t.co/ojOD64MLZr",['1596926449465757697'],589289053,2022-11-27T17:58:29.000Z,
ur,1596926406315106305,RT @ChParvezElahi: صوبائی اسمبلیوں سے استعفے آتے ہی پی ڈی ایم کا جعلی اتحاد بھی انتشار کی شکل اختیار کرتا جائے گا. ن لیگ والے شعبدہ باز جھو…,['1596926406315106305'],589289053,2022-11-27T17:58:19.000Z,
ur,1596926309954822146,"RT @HamxaTweets: جیسے ہی خان صاحب حکم کریں گے
اسی وقت پنجاب اسمبلی توڑ دوں گا.

وزیراعلیٰ پنجاب چوہدری پرویز الٰہی کا اعلان",['1596926309954822146'],589289053,2022-11-27T17:57:56.000Z,
hi,1596924937976963072,@IrfanSaleemPTI Saddar Sahab Zindabad,['1596924937976963072'],589289053,2022-11-27T17:52:29.000Z,{'place_id': '003faa615af988db'}
en,1596872355875168257,"RT @Jhagra: For a Provincial Assembly to be dissolved, the CM has to simply write to the Governor, and the assembly stands dissolved within…",['1596872355875168257'],589289053,2022-11-27T14:23:32.000Z,
ur,1596872183670018049,RT @PTIofficial: قابل فخر ہے وہ ماں جس نے عمران خان جیسے بیٹے کو جنم دیا اور قابل فخر ہے عمران خان جیسا قوم کا سپوت جس نے حکومت قربان  کر د…,['1596872183670018049'],589289053,2022-11-27T14:22:51.000Z,
ur,1596872105920188417,"RT @IKTodayPk: میں یہ تکلیف برداشت کرلونگا لیکن میری قوم یہ تکلیف برداشت نہیں کرسکیں گی-

شدید زخمی حالت کے باوجود عمران خان کی جلسہ گاہ سے…",['1596872105920188417'],589289053,2022-11-27T14:22:33.000Z,
