text,created_at,lang,id,edit_history_tweet_ids,author_id,geo
RT @snitstwits: @AVindman @realDonaldTrump @kanyewest @elonmusk @SenateGOP @HouseGOP The last Republican to condemn Nazism. https://t.co/VC…,2022-11-28T01:24:36.000Z,en,1597038715922444288,['1597038715922444288'],285246000,
"RT @AVindman: I have never received something like this. We are experiencing a rise in hate, while many look the other way or seek to profi…",2022-11-28T01:21:19.000Z,en,1597037892010119168,['1597037892010119168'],285246000,
@FerrinTy @ThatEricAlper Yay! Me too!,2022-11-28T01:13:59.000Z,en,1597036046092406784,['1597036046092406784'],285246000,
"@ThatEricAlper I’m and old punk at heart, but I love John Denver. His voice was so pure.",2022-11-28T01:12:49.000Z,en,1597035753145765889,['1597035753145765889'],285246000,
@motelsiren Aww! 🥹🥹😍😍😍,2022-11-28T00:40:56.000Z,und,1597027728553041922,['1597027728553041922'],285246000,
"RT @mmpadellan: It's 2022, people still say ""Democrats were the party of the KKK,"" pretending not to know that Dixiecrats from the South fl…",2022-11-27T22:50:53.000Z,en,1597000035254013954,['1597000035254013954'],285246000,
"RT @joncoopertweets: Hell yeah, so do I!! How about you? https://t.co/SIoNt58OHO",2022-11-27T22:50:37.000Z,en,1596999967302103041,['1596999967302103041'],285246000,
@joncoopertweets Nope.,2022-11-27T22:49:22.000Z,en,1596999653534609408,['1596999653534609408'],285246000,
@Owen_Lloyd07 This is how it should be.,2022-11-27T21:21:57.000Z,en,1596977651444776960,['1596977651444776960'],285246000,
RT @marisatomei: Have a great weekend ❤️ https://t.co/3QaPMiQbJl,2022-11-27T21:14:07.000Z,en,1596975680197365761,['1596975680197365761'],285246000,
RT @notcapnamerica: New meme acquired https://t.co/ckF6dNDM1L,2022-11-27T21:13:52.000Z,en,1596975616867602432,['1596975616867602432'],285246000,
@BrucioMcCulloch I’m happy to donate. Cancer has taken too many people I love.,2022-11-27T21:09:02.000Z,en,1596974402473639936,['1596974402473639936'],285246000,
RT @BrucioMcCulloch: My friend Maggie Huculak played the beautiful woman I fell in love with in ‘Love and Sausages’. She is fighting cancer…,2022-11-27T21:08:22.000Z,en,1596974236010106881,['1596974236010106881'],285246000,
@ThatEricAlper Or fucking my boyfriend.,2022-11-27T20:39:28.000Z,en,1596966960683970562,['1596966960683970562'],285246000,
