created_at,lang,edit_history_tweet_ids,id,text,author_id
2022-11-27T21:26:48.000Z,en,['1596978874419916800'],1596978874419916800,RT @zazabelou: AS IT SHOULD! THROUGH THICK AND THIN‼🤗💞,103383073
2022-11-27T21:26:43.000Z,art,['1596978851925458944'],1596978851925458944,RT @zazabelou: 🙏🙏🙏,103383073
2022-11-27T21:26:38.000Z,en,['1596978833294434304'],1596978833294434304,RT @zazabelou: YOU CAN MAKE IT HAPPEN TOO‼BE THE DIFFERENCE‼💖‼,103383073
2022-11-27T21:26:34.000Z,en,['1596978813765681153'],1596978813765681153,RT @zazabelou: GOD BLESS FOR MAKING THEIR LIVES MATTER‼PLEASE HELP THIS NOBLE CAUSE‼🙏💖,103383073
2022-11-27T21:25:47.000Z,und,['1596978615648145409'],1596978615648145409,@SAFEteamrescue 🙏💖,103383073
2022-11-27T21:25:01.000Z,en,['1596978425293860864'],1596978425293860864,RT @zazabelou: THE LIFE ALL DESERVE! YOU CAN MAKE IT HAPPEN‼💖‼,103383073
2022-11-27T21:24:53.000Z,en,['1596978389449003009'],1596978389449003009,RT @zazabelou: BLESS YOU FOR SUCH A NOBLE MISSION‼🙏‼,103383073
2022-11-27T21:24:46.000Z,en,['1596978363091935232'],1596978363091935232,RT @sa16280364: Pit lovers…. Save this baby 🙏🏼🙏🏼🙏🏼🙏🏼💔💔💔,103383073
2022-11-27T21:24:36.000Z,en,['1596978319559270401'],1596978319559270401,RT @zazabelou: SHOP TO HELP PLEASE‼🙏🤗,103383073
2022-11-27T21:24:32.000Z,en,['1596978303281532929'],1596978303281532929,RT @zazabelou: IN HONOR OF MAXIMUS MEMORY‼💖✨,103383073
2022-11-27T21:24:28.000Z,en,['1596978286332379136'],1596978286332379136,RT @htfleming73: TEXAS 🚨🚨🚨,103383073
2022-11-27T21:24:24.000Z,en,['1596978269819400192'],1596978269819400192,RT @psychicwhisper3: 💔CAMREN😢Needs To Be OUT &amp; FAST💥The Shelter Is FULL Dont Let Them KILL Him‼️At #CorpusChristiTX Please Keep #RT #Pledge…,103383073
2022-11-27T21:24:21.000Z,art,['1596978257358114818'],1596978257358114818,RT @anmllvr1970: 🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘🆘💔,103383073
2022-11-27T21:24:18.000Z,en,['1596978246217629696'],1596978246217629696,RT @DebraLoveGoff1: This boy got a raw deal and deserves to live,103383073
2022-11-27T21:24:12.000Z,en,['1596978220662153216'],1596978220662153216,RT @zazabelou: DO THIS PUP JUSTICE‼😠‼,103383073
2022-11-27T21:24:07.000Z,en,['1596978197442068480'],1596978197442068480,"RT @Pandospike: CAMREN - Age 1
#A350610
Classed as INJURED STRAY
Has leg injury &amp; some other health issues but he can be treated so why KIL…",103383073
2022-11-27T21:24:01.000Z,zxx,['1596978172540911616'],1596978172540911616,RT @ohrles: https://t.co/oiEKUYhoFT,103383073
2022-11-27T21:23:47.000Z,und,['1596978113031729153'],1596978113031729153,NY 🆘️💔🆘️ https://t.co/RUD8Mwu01x,103383073
2022-11-27T21:23:23.000Z,en,['1596978012439789568'],1596978012439789568,RT @zazabelou: PLEASE ALBERTA! ALL EXPENSES PAID‼🙏,103383073
2022-11-27T21:23:17.000Z,fi,['1596977988356096000'],1596977988356096000,RT @zazabelou: ALBERTA 🙏🍀,103383073
2022-11-27T21:23:10.000Z,en,['1596977959440879616'],1596977959440879616,RT @zazabelou: ALL I SEE IS THE BEAUTY OF YOUR SMILE‼🥰💖,103383073
2022-11-27T21:23:05.000Z,en,['1596977940109357058'],1596977940109357058,RT @nerissathecat: Special thank you shout-outs TO ALL MY WONDERFUL PALS for tweetin' about my blog.  THANK YOU MY FRIENDS!!!  I have THE B…,103383073
2022-11-27T21:22:55.000Z,sv,['1596977894659883009'],1596977894659883009,RT @zazabelou: TYSM‼🤗💖,103383073
2022-11-27T21:22:51.000Z,en,['1596977880730566656'],1596977880730566656,RT @zazabelou: SO HAPPY TO KNOW‼HONOR YOUR PLEDGES PLEASE‼🙏💖,103383073
2022-11-27T21:22:38.000Z,en,['1596977824489148417'],1596977824489148417,RT @zazabelou: MISSING IN NY 🆘️,103383073
2022-11-27T21:22:35.000Z,en,['1596977812501827584'],1596977812501827584,"RT @zazabelou: I THINK THESE ""PEOPLE"" ARE A WASTE OF OXYGEN‼😠",103383073
2022-11-27T21:22:29.000Z,en,['1596977788451696640'],1596977788451696640,"RT @EvaMOrl: CORPUS CHRISTI, TX - don’t let him DIE - ADOPT - RESCUE FOSTER - PLEDGE - RETWEET",103383073
2022-11-27T21:22:24.000Z,en,['1596977765512716288'],1596977765512716288,RT @zazabelou: CHIP IN TO HELP PLEASE‼ALL DONATIONS WELCOME‼🙏‼,103383073
2022-11-27T21:22:20.000Z,sv,['1596977747234283520'],1596977747234283520,TYSM‼🙏💖 https://t.co/g4HrQelomC,103383073
2022-11-27T21:21:57.000Z,en,['1596977651729604608'],1596977651729604608,PLEASE HELP WITH WHAT YOU CAN‼🙏🆘️ https://t.co/qysKVcmlNN,103383073
2022-11-27T21:21:24.000Z,en,['1596977514622353408'],1596977514622353408,RT @zazabelou: PLEASE HONOR YOUR PLEDGES‼🙏👍,103383073
2022-11-27T21:21:09.000Z,en,['1596977452689272834'],1596977452689272834,IT'S A SCARY PLACE TO BE‼😥💔 https://t.co/B59aNyWMG5,103383073
2022-11-27T21:20:34.000Z,und,['1596977305255317505'],1596977305255317505,NY 🆘️🆘️🆘️ https://t.co/NgHDF2BJ0f,103383073
2022-11-27T21:20:04.000Z,en,['1596977178767282176'],1596977178767282176,RT @zazabelou: MISSING IN NY 🆘️,103383073
2022-11-27T21:20:01.000Z,en,['1596977165610151936'],1596977165610151936,RT @zazabelou: PLEASE DO‼🙏,103383073
2022-11-27T21:19:57.000Z,en,['1596977147817562112'],1596977147817562112,RT @zazabelou: DON'T LET CAMREN BE MURDERED‼😥💔,103383073
2022-11-27T21:19:52.000Z,en,['1596977129849520128'],1596977129849520128,RT @zazabelou: URGENT HELP NEEDED PLEASE NY‼‼‼,103383073
2022-11-27T21:19:29.000Z,en,['1596977032935616512'],1596977032935616512,RT @zazabelou: BEFORE IT'S TOO LATE‼💔,103383073
2022-11-27T21:19:26.000Z,en,['1596977020344635393'],1596977020344635393,RT @zazabelou: PLEASE HELP KEEPING THEM WARM‼🤗🙏,103383073
2022-11-27T21:19:17.000Z,en,['1596976982880755712'],1596976982880755712,PLEASE HELP MICHIGAN'S KITTIES‼🥰🙏 https://t.co/VCpY6iNp2K,103383073
