lang,edit_history_tweet_ids,text,author_id,id,created_at,withheld
en,['1597051512815222784'],@patfkauffman No because airborne viruses will enter the body through the eyes!,551153971,1597051512815222784,2022-11-28T02:15:27.000Z,
en,['1597047575760097280'],RT @racingblogger: ⚫️⚪️ Who wants some Saturday beer money - Winner at 10pm! 🍻,551153971,1597047575760097280,2022-11-28T01:59:48.000Z,
en,['1597047530227109888'],RT @racingblogger: 💷 If SOARING GLORY &amp; THE GOONER both WIN for Jonjo O'Neil at CARLISLE I'll give £50 CASH to one of you Lucky People! 🚀…,551153971,1597047530227109888,2022-11-28T01:59:37.000Z,
en,['1597046361802752001'],"RT @boohooMAN: #WIN £100 voucher 💸🙏
Just like &amp; RT this post 🤑",551153971,1597046361802752001,2022-11-28T01:54:58.000Z,
zxx,['1597046060400381952'],RT @ARFDVEN1: https://t.co/054yOhreF2,551153971,1597046060400381952,2022-11-28T01:53:47.000Z,
zxx,['1597045948299227136'],RT @ARFDVEN1: https://t.co/q2B9VEWTBI,551153971,1597045948299227136,2022-11-28T01:53:20.000Z,
und,['1597014660972449792'],@LaMongooseUK @budgiebeams67 @Wishingwell66 @lydfp_bobbysmum 🧀🧀🧀🧀❤️🤞,551153971,1597014660972449792,2022-11-27T23:49:00.000Z,
en,['1597014455917121536'],RT @LaMongooseUK: Please help our American #LaMongoose page by retweeting the quoted giveaway tweet and tagging your friends in the USA. Th…,551153971,1597014455917121536,2022-11-27T23:48:12.000Z,
en,['1596990104173572098'],RT @buitengebieden: Garfield in real life.. 😅 https://t.co/B9bkjYvEHI,551153971,1596990104173572098,2022-11-27T22:11:26.000Z,
en,['1596989834836725760'],RT @Yoda4ever: Swan mom carries babies on her back...🦢😍 https://t.co/O1Wgr7hCtq,551153971,1596989834836725760,2022-11-27T22:10:21.000Z,
en,['1596989636941053952'],RT @Yoda4ever: Give me my stick back..🐈🐾⛄😅 https://t.co/phMEonCzs7,551153971,1596989636941053952,2022-11-27T22:09:34.000Z,
en,['1596989515205255169'],RT @Yoda4ever: Cat patiently waits while grandma fixes his favorite toy...🐈🐾🧸 https://t.co/WuzoLMc7sF,551153971,1596989515205255169,2022-11-27T22:09:05.000Z,
en,['1596985835433644032'],@_TAXIFIRST_ Christmas treat for myself! @budgiebeams67 @Wishingwell66,551153971,1596985835433644032,2022-11-27T21:54:28.000Z,
en,['1596985682802548737'],"RT @_TAXIFIRST_: Win a £50 AMAZON voucher thanks to our partners TAKE ME…
To enter
1]LIKE or       
2]SHARE or Retweet
3]COMMENT or TWEET u…",551153971,1596985682802548737,2022-11-27T21:53:51.000Z,
qam,['1596985409912700928'],@cloud10beauty @SWSandy_,551153971,1596985409912700928,2022-11-27T21:52:46.000Z,
en,['1596985367835848704'],"RT @cloud10beauty: ❤️WIN❤️ We're still celebratin' the Black Friday sale buzz, and we wanna treat one lucky follower to ALL of these amazin…",551153971,1596985367835848704,2022-11-27T21:52:36.000Z,
qme,['1596985202177298432'],@OfficialPLT @budgiebeams67 @Wishingwell66 #PLTPinkFriday,551153971,1596985202177298432,2022-11-27T21:51:57.000Z,
en,['1596984990331711488'],"RT @OfficialPLT: STILL CHANCE TO WIN 💖 We’re giving away £10,000 CASH! 🤑
 
💖 Retweet &amp; tweet us below using #PLTPinkFriday
💖 Follow @Offici…",551153971,1596984990331711488,2022-11-27T21:51:06.000Z,
und,['1596962793873297408'],@f1autocentres @Wishingwell66 @un_lucky_clover 🤞🤞🤞🤞,551153971,1596962793873297408,2022-11-27T20:22:54.000Z,
en,['1596962697966342147'],"RT @f1autocentres: 🤖 SUPER-SAVING CYBER MONDAY🤖

Enter our draw to WIN £100 worth of Amazon vouchers by 𝐓𝐀𝐆𝐆𝐈𝐍𝐆 2 friends on THIS pinned po…",551153971,1596962697966342147,2022-11-27T20:22:31.000Z,
en,['1596962309141803009'],@Hilton15Hilton It’s an utter disgrace! Never thought I’d see the day when our own people are put out on the street in favour of immigrants!,551153971,1596962309141803009,2022-11-27T20:20:59.000Z,
zxx,['1596883543212593154'],RT @MitsueMitsu: https://t.co/kQsmCmOEmb,551153971,1596883543212593154,2022-11-27T15:08:00.000Z,
