id,author_id,lang,text,edit_history_tweet_ids,created_at
1597075520101158912,536804517,en,"🏈🤳🏿Yes, a team without a mobile QB is at a disadvantage. Then again, you have my Falcons, a team with a mobile QB, and we're still at a disadvantage. The Coach &amp; the system are the 2nd &amp; 3rd most important pieces. 

#GBvsPHI #FlyEaglesFly",['1597075520101158912'],2022-11-28T03:50:50.000Z
1597074850203729920,536804517,en,"🏈🤳🏿I've seen enough running from Jalen Hurts tonight. Shut him down for the rest of the night.

#GBvsPHI #FlyEaglesFly",['1597074850203729920'],2022-11-28T03:48:11.000Z
1597074473454567426,536804517,en,"@NFLonPrime He gon' cry when he gets there!
#Petty https://t.co/reugEPHUUD",['1597074473454567426'],2022-11-28T03:46:41.000Z
1597073713949659136,536804517,en,@HockeyByDaBay @HumanSabre Collingsworth stay slobbin' 24x7.,['1597073713949659136'],2022-11-28T03:43:40.000Z
1597071951692189697,536804517,en,"🏈🤳🏿Here come the excuses for Rogers.

#GBvsPHI #FlyEaglesFly https://t.co/MvLrzVekfZ",['1597071951692189697'],2022-11-28T03:36:40.000Z
1597070823713406978,536804517,en,"🏈🤳🏿Or or Jalen Hurts can hit AJ Brown in the corner of the end zone for the TD.
😏😏😏

#GBvsPHI #FlyEaglesFly",['1597070823713406978'],2022-11-28T03:32:11.000Z
1597070538610192385,536804517,en,"🏈🤳🏿Eagles gotta stick with the run at the goal line.

#GBvsPHI #FlyEaglesFly",['1597070538610192385'],2022-11-28T03:31:03.000Z
1597068482432024578,536804517,en,"🏈🤳🏿Aaron Rogers sacked to start the 3rd qtr. I'm still Petty.

#GBvsPHI #FlyEaglesFly https://t.co/tkrUA4NsUO",['1597068482432024578'],2022-11-28T03:22:52.000Z
1597062663422414848,536804517,en,"🏈🤳🏿You asked why wasn't Jalen Hurts throwing the ball so he throws a strike to Watkins for the TD!!! 

#GBvsPHI #FlyEaglesFly https://t.co/5P2RyBQwj0",['1597062663422414848'],2022-11-28T02:59:45.000Z
1597061028302401536,536804517,en,"RT @jennobenno: Anyone else think it strange that Brian Kemp avoided Herschel Walker like the plague during the general election, but now h…",['1597061028302401536'],2022-11-28T02:53:15.000Z
1597059373968556033,536804517,en,"🏈🤳🏿Yes, anutha Aaron Rogers sack!

#GBvsPHI #FlyEaglesFly https://t.co/G04PoVG6KJ",['1597059373968556033'],2022-11-28T02:46:41.000Z
1597058705438429185,536804517,en,"🏈🤳🏿Yes, an Aaron Rogers sack!

#GBvsPHI #FlyEaglesFly",['1597058705438429185'],2022-11-28T02:44:01.000Z
