text,id,created_at,lang,edit_history_tweet_ids,author_id
"Just imagine the comic state of affairs in #Pakistan that the country’s former Interior Minister shares a video of Los Angeles as a proof of Imran Khan’s support. 
A nuclear country of 220 million people been ruled by such trash. https://t.co/7PXGNQuvjp",1596960985029320704,2022-11-27T20:15:43.000Z,en,['1596960985029320704'],50626629
RT @ZiauddinY: @mSaleemJaved @Malala In solidarity with #FreeAfghanistan #LetAfghanGirlsLearn,1596953749599027200,2022-11-27T19:46:58.000Z,en,['1596953749599027200'],50626629
@marmaladejam14 Haha. Exactly. Jealousy kills.,1596953699615903744,2022-11-27T19:46:46.000Z,en,['1596953699615903744'],50626629
RT @mSaleemJaved: Lolz. Hekmatyar is angry with Qatar as to why it didn’t give the $220 billion dollars spent on #FIFAWorldCup to Afghanist…,1596950086692798465,2022-11-27T19:32:25.000Z,en,['1596950086692798465'],50626629
"Nobel laureate @Malala attended London demonstration demanding #FreeAfghanWomen and called on world powers to organize a global summit in order to ensure that women rights are upheld. ‘World leaders should not remain silent’. Respected @ZiauddinY also seen
https://t.co/ZZUViTTqK4",1596927136669274113,2022-11-27T18:01:13.000Z,en,['1596927136669274113'],50626629
"London: Protest demonstration against Taliban’s brutal repression of women. Attendants chanting ‘no to gender apartheid’. ‘Work, education, freedom’

Taliban has totally deprived women of basic rights &amp; imposed barbaric sharia laws. #FreeAfghanWomen 
https://t.co/isQzD5bT7E",1596923029329567744,2022-11-27T17:44:54.000Z,en,['1596923029329567744'],50626629
"RT @mSaleemJaved: Taliban 2.0 is more arrogant, more dangerous, more merciless and more aggressive than Taliban 1.0. 

The only difference…",1596920288645898241,2022-11-27T17:34:00.000Z,en,['1596920288645898241'],50626629
RT @Ali_Abbas_Zaidi: Mohsin Dawar not being able to fly out despite being an important member of the ruling coalition points towards only o…,1596907268448333826,2022-11-27T16:42:16.000Z,en,['1596907268448333826'],50626629
RT @mSaleemJaved: Qatar not only paid Taliban leaders heavy sums of cash but also facilitated smugglers and drug lords with close ties to T…,1596902300257341444,2022-11-27T16:22:32.000Z,en,['1596902300257341444'],50626629
@iamthedrifter @Razarumi Heartfelt condolences. May her soul rest in peace.,1596900479459823616,2022-11-27T16:15:17.000Z,en,['1596900479459823616'],50626629
Mostly by Taliban fighters. https://t.co/03C5GzRpUq,1596872763134062592,2022-11-27T14:25:09.000Z,en,['1596872763134062592'],50626629
"‘Young girls are committing suicide in #Afghanistan because they don’t want to grow up in that country”. 

No one. Literally no one, can understand and feel the pain the woman of Afghanistan are being subjected to. #FreeAfghanWomen #SpeakForAfghanWomen https://t.co/g7ckoIEAzI",1596867439005863937,2022-11-27T14:04:00.000Z,en,['1596867439005863937'],50626629
RT @FatmaFaizi: 9 people were killed by the Taliban in Daikundi. Some of them were shot to death and one or two were beheaded in front of t…,1596859093951520768,2022-11-27T13:30:50.000Z,en,['1596859093951520768'],50626629
"Taliban spokesman says condemning public flogging of women is blasphemous. 
Does it not defame islam? Or does it mean islam enjoys public flogging of women, stoning to death, forced marriages and sex-enslavement? 

If not, where are the blasphemy brigades? https://t.co/zFZg1Yeelp",1596858892193255424,2022-11-27T13:30:02.000Z,en,['1596858892193255424'],50626629
If you need academic research papers about the ongoing Hazara genocide in #Afghanistan. Rights advocates are often accused of falsification by Taliban apologists. Brilliant work by @MehdiHakimiJ. #StopHazaraGenocide https://t.co/YA9VcH9BNq,1596856559589462016,2022-11-27T13:20:46.000Z,en,['1596856559589462016'],50626629
https://t.co/sma3G1YEqg,1596855584208338949,2022-11-27T13:16:54.000Z,zxx,['1596855584208338949'],50626629
RT @ShesWithBruce: This. Right here. This. 👇,1596855528126578688,2022-11-27T13:16:40.000Z,en,['1596855528126578688'],50626629
"Lolz. Hekmatyar is angry with Qatar as to why it didn’t give the $220 billion dollars spent on #FIFAWorldCup to Afghanistan instead? 
Beggars will always remain beggars. 
 https://t.co/uA7nXtPy4U",1596843816904015872,2022-11-27T12:30:08.000Z,en,['1596843816904015872'],50626629
Shocked at Western diplomats’ naiveté. https://t.co/kyuddN8gv4,1596841378042236934,2022-11-27T12:20:27.000Z,und,['1596841378042236934'],50626629
"Condemnable. But was it not a banana republic when you refused to console #Hazara mourners and called them ‘blackmailers’ whose loved ones were slaughtered, literally, under your nose? They simply asked you to come and utter some words of sympathy. https://t.co/kTQYbXjnms",1596840005497892864,2022-11-27T12:14:59.000Z,en,['1596840005497892864'],50626629
"Graphic images of #Hazara woman and children massacred by Taliban. Their fighters go around killing random families as their spokesman justify it by simply accusing them of rebellion. Hands of Taliban enablers, supporters and apologists are stained with blood. #StopHazaraGenocide https://t.co/yLiC1hug6c",1596836447029719041,2022-11-27T12:00:51.000Z,en,['1596836447029719041'],50626629
"Gen Hamid Gul hated and loathed Benazir Bhutto until his death because she sacked him as ISI chief due to his adventurism in Afghanistan which diminished his chance to become Army chief. 

Faiz Hamid’s adventurism, both externally and internally, did not end up well either. https://t.co/VGWKsjufHk",1596627014458277888,2022-11-26T22:08:38.000Z,en,['1596627014458277888'],50626629
"Taliban 2.0 is more arrogant, more dangerous, more merciless and more aggressive than Taliban 1.0. 

The only difference is that their spokesmen have been trained by Taliban patrons to easily deceive the Western media.  https://t.co/cLfDMn9AOh",1596622976111489024,2022-11-26T21:52:35.000Z,en,['1596622976111489024'],50626629
"“The Taliban's presence in the nation stretches back more than a decade. In the early 2010s, many senior Taliban officials left Afghanistan for Qatar, where the militants were welcomed by the country's then-Emir, Hamad bin Khalifa al Thani.” #FIFAWorldCup",1596611006750687232,2022-11-26T21:05:02.000Z,en,['1596611006750687232'],50626629
"Qatar not only paid Taliban leaders heavy sums of cash but also facilitated smugglers and drug lords with close ties to Taliban to act as subcontractors for construction of #FIFAWorldCup stadium. #mexicoargentina 
https://t.co/C7gRphtKMC",1596599036844417024,2022-11-26T20:17:28.000Z,en,['1596599036844417024'],50626629
"Mahmoud Khan Achakzai has lately been acting as Taliban’s man in Pakistan. Senior party workers are now upset with his Taliban-friendly rhetoric, which may lead to break up.  https://t.co/FKOPKjA6jC",1596591776487333889,2022-11-26T19:48:37.000Z,en,['1596591776487333889'],50626629
"RT @LotteLeicht1: Taliban’s draconian violations against women may amount to #CrimesAgainstHumanity

#UN experts urge govts to ensure crime…",1596576373950537728,2022-11-26T18:47:25.000Z,en,['1596576373950537728'],50626629
"Someone should tell this terrorist that violence, rape, jihad-sex, forced marriage, flogging, stoning and killing of women by Taliban are not even registered. 0 registration doesn’t mean nonexistent. 

Which real democracy has the highest rape rate? Habitual liars! https://t.co/MQfrxwht1G",1596544275193266177,2022-11-26T16:39:52.000Z,en,['1596544275193266177'],50626629
"Believe it or not, flogging women is a ‘crime’ according UN experts.  https://t.co/dXU7Jazlt8",1596534444248006656,2022-11-26T16:00:48.000Z,en,['1596534444248006656'],50626629
"@FarkhondaAkbar @SR_Afghanistan Heartfelt condolences, Dr Farkhonda. Heart-wrenching brutality. Unbearable loss. Sympathies with your family. Stay strong!",1596531926680375297,2022-11-26T15:50:48.000Z,en,['1596531926680375297'],50626629
RT @mariamasghari: #StopHazaraGenocide,1596513760964853761,2022-11-26T14:38:37.000Z,qht,['1596513760964853761'],50626629
RT @bsarwary: #AFG Devastating news for a Hazara family in central Afghanistan as 10 members murdered  by the Taliban.,1596494225893228544,2022-11-26T13:20:59.000Z,en,['1596494225893228544'],50626629
RT @jason_c_howk: #StopHazaraGenocide,1596493597284573185,2022-11-26T13:18:29.000Z,qht,['1596493597284573185'],50626629
"Taliban’s public flogging of men, women and children has nothing to do with Islam. It is just a terror tactic in order to spread fear among the country’s citizens to make them fulfill Taliban’s merciless thrust for power. Punish Taliban, instead of finding a justification. https://t.co/V0Xl4mRGYI",1596487195598426112,2022-11-26T12:53:03.000Z,en,['1596487195598426112'],50626629
"The terrorist regime’s spokesman says Taliban killed Hazara woman and minor children because they were ‘rebels’. 
@UNICEFAfg calls it ‘shocking’ and condemned it. 
It is nothing but a crime against humanity to deliberately massacre children. 
#StopHazaraGenocide https://t.co/LtYStLEaeQ",1596477758737371138,2022-11-26T12:15:33.000Z,en,['1596477758737371138'],50626629
Will pass rest of his life drinking coffee in Kabul? https://t.co/zGZuaYMq8b,1596424671724978177,2022-11-26T08:44:36.000Z,en,['1596424671724978177'],50626629
@asmashirazi @akspublications Warm congratulations! Will surely be a great read.,1596423983691632640,2022-11-26T08:41:52.000Z,en,['1596423983691632640'],50626629
RT @ijazkhan: Doubt IK was that assertive to have dared remove an ISI chief on his own-Doubt ISI chief would have acted at level of a High…,1596267791489069056,2022-11-25T22:21:13.000Z,en,['1596267791489069056'],50626629
"@Jemima_Khan Thank you Jemima for calling spade a spade and calling on Londoners to protest against the terrorist regime. 
It will surely disappoint and anger pro-Taliban trolls here on Twitter. 
There is also a genocide going on in Taliban’s Afghanistan. More info on #StopHazaraGenocide",1596245446892068864,2022-11-25T20:52:26.000Z,en,['1596245446892068864'],50626629
"Taliban fighters massacre random Hazara families just as a killing sport. It’s become a way for Taliban foot-soldiers to prove their loyalty and improve their ranks. 
There’s no functioning media in the country while the inte’l media has turned a blind eye. #StopHazaraGenocide https://t.co/dGbfZvG6Y8",1596243274851049472,2022-11-25T20:43:48.000Z,en,['1596243274851049472'],50626629
"Taliban never get tired of mass-killing of Hazaras, including minor children. One can’t expect better from Taliban but the utter silence of the international community is shocking, to say the least. 
How long should the helpless people suffer in silence, @UN? #StopHazaraGenocide https://t.co/W8SjUC0mf9",1596237814684950532,2022-11-25T20:22:06.000Z,en,['1596237814684950532'],50626629
@Gulalai_Ismail محکوم قوموں کیلیئے ہمیشہ سے آسمان سے گرے کجھور میں اٹکے والا حال رہا ہے۔,1596095764857503744,2022-11-25T10:57:39.000Z,ur,['1596095764857503744'],50626629
RT @Gulalai_Ismail: @mSaleemJaved آسمان سے گرے، کجھور میں اٹک گئے- یہاں بھی ہمارا ہی نام نشان عبرت بنا کے دکھایا جارہا ہے۔😕,1596094386835980289,2022-11-25T10:52:10.000Z,ur,['1596094386835980289'],50626629
Congratulations to all those who euphorically celebrate the new appointment. ;) https://t.co/KGYYL3PuOL,1596078829683953670,2022-11-25T09:50:21.000Z,en,['1596078829683953670'],50626629
Top official at Taliban’s ministry of vice and virtual refuses to talk to the filmmaker unless she covers her hair completely. And then outrightly denies that fact that women are being subjected to forced hijab and other inhumane atrocities.,1595851604007489537,2022-11-24T18:47:26.000Z,en,['1595851604007489537'],50626629
Eyewitnesses say that Taliban offer young female prisoners freedom in return of sexual services/‘marriage’ with Taliban fighters. Good-looking young women are being kidnapped from across Afghanistan by Taliban fighters. Relatives get killed if they resist the kidnappers.,1595847795931488257,2022-11-24T18:32:18.000Z,en,['1595847795931488257'],50626629
"Powerful documentary on Swedish state tv by @ramitanavai about Afghan women getting kidnapped, tortured &amp; imprisoned by Taliban on vague excuses such as ‘immorality’ which even Taliban can’t define. Taliban fighters forcefully disappear women without informing their relatives. https://t.co/fWIROQkQBb",1595844262679445504,2022-11-24T18:18:16.000Z,en,['1595844262679445504'],50626629
"RT @jason_c_howk: Pakistan, Iran, China, Cuba, Qatar, Venezuela…the human rights violations and terrorism support experts.
This is the glob…",1595837403448676353,2022-11-24T17:51:00.000Z,en,['1595837403448676353'],50626629
So Pakistan says the human rights of Iranian people are not being violated while the mullahs continue slaughtering ordinary citizens who demand their basic rights. https://t.co/7riYC1H8t7,1595825410478166020,2022-11-24T17:03:21.000Z,en,['1595825410478166020'],50626629
The cup of coffee at Kabul’s Serena turned out to not be so tasty after all. https://t.co/ft69S3xVYf,1595808664824479745,2022-11-24T15:56:49.000Z,en,['1595808664824479745'],50626629
The sadist terrorist regime has once again turned Afghanistan’s sports stadiums into a whipping field.  https://t.co/wzIYyVVxtz,1595807242758291457,2022-11-24T15:51:09.000Z,en,['1595807242758291457'],50626629
"Newly appointed Army chief salutes PM Shahbaz Sharif whom Imran Khan accuses of being installed through an international conspiracy. 

If he stays committed to Gen Bajwa’s promise of staying away from politics, PTI will gradually disappear. https://t.co/hUlzqGCQzu",1595804705154011136,2022-11-24T15:41:04.000Z,en,['1595804705154011136'],50626629
Appointment of these military officers has held the nation’s breath back for many weeks. Imran Khan’s ‘revolution’ was actually aimed at influencing this appointment. President Alvi is not in a position to resist it. But will the chief remain apolitical? https://t.co/7VsYa9Fjxy,1595674665783267329,2022-11-24T07:04:21.000Z,en,['1595674665783267329'],50626629
"RT @HabibKhanT: This crowd has gathered in a stadium in Afghanistan’s Logar province, not for a game but to watch public execution by the T…",1595660967127433218,2022-11-24T06:09:55.000Z,en,['1595660967127433218'],50626629
RT @jason_c_howk: Until next time…,1595501662893969482,2022-11-23T19:36:54.000Z,en,['1595501662893969482'],50626629
"“This is why in February last year the army, after great deliberation, decided that it would never interfere in any political matter. I assure you we are strictly adamant on this and will remain so.”",1595453922818363398,2022-11-23T16:27:11.000Z,en,['1595453922818363398'],50626629
"Pakistan’s outgoing Army chief: “our army which day and night remains busy in serving the nation, is often made the subject of criticism. A major reason for this is the army’s interference in politics for the last 70 years which is unconstitutional.”",1595453267059802113,2022-11-23T16:24:35.000Z,en,['1595453267059802113'],50626629
Very important statement from someone who knows Afghanistan relatively well. The so-called Doha talks was actually a face-saving tactic for the US to leave the country at the cost of millions of ordinary Afghans who suffer endlessly. Taliban don’t understand dialogue. https://t.co/nAuvrRbTHj,1595367891179798528,2022-11-23T10:45:20.000Z,en,['1595367891179798528'],50626629
“My National Team” #MahsaAmini #FIFAWorldCup https://t.co/57VFkzzrYz,1595172885953449994,2022-11-22T21:50:27.000Z,en,['1595172885953449994'],50626629
"What a disgusting response! 
And she is out begging for justice while hurling accusations at a credible journalist who has actually expressed sympathies. https://t.co/e73dwDjV9R",1595170251364306954,2022-11-22T21:39:59.000Z,en,['1595170251364306954'],50626629
@ajmaljami بهترین! یکی از بهترین اشعار مولانا!,1595167990915469318,2022-11-22T21:31:00.000Z,fa,['1595167990915469318'],50626629
