edit_history_tweet_ids,lang,created_at,author_id,id,text,geo
['1596962808263950336'],en,2022-11-27T20:22:58.000Z,14918577,1596962808263950336,"RT @TewksPolice: ROAD CLOSURE

The road is closed on the A38 between the Highfield Business Park and the junction with the junction for the…",
['1596822238954934272'],en,2022-11-27T11:04:23.000Z,14918577,1596822238954934272,"Feeling a bit rough after Covid &amp; flu jabs yesterday, hopefully things will improve, just trying to stay warm.",
['1596533019736621057'],en,2022-11-26T15:55:08.000Z,14918577,1596533019736621057,"@zap_map Hi. I am looking to buy a Citroen Ami in the New Year, would it be possible to add this vehicle on the app soon? 👍",
['1596242716412846081'],en,2022-11-25T20:41:35.000Z,14918577,1596242716412846081,"@legless2007 Lost me on that, I’m in bed now, about to read for about an hour if my eyes will stay open",
['1596240842456719360'],en,2022-11-25T20:34:08.000Z,14918577,1596240842456719360,8:30pm… time for a nap until morning https://t.co/RdeUe8HyQp,
['1596096390052315137'],en,2022-11-25T11:00:08.000Z,14918577,1596096390052315137,"RT @DalaiLama: When we think about fear, there are two types, legitimate fear for which there is some valid basis and fear that is rooted i…",
['1596047438527475713'],en,2022-11-25T07:45:37.000Z,14918577,1596047438527475713,Gin Wigmore - Hey Ho (Official Video) https://t.co/eTBaIMTvJS,
['1595846522670817280'],en,2022-11-24T18:27:15.000Z,14918577,1595846522670817280,"Feeling a bit cold, so popped on the Christmas jumper 😉 https://t.co/7LM636aXc9",
['1594235730913644544'],en,2022-11-20T07:46:32.000Z,14918577,1594235730913644544,"Just heard the news… he’s back (no not this Mr.T, the other one) https://t.co/mUJtrdctaY",
['1594230974371479553'],en,2022-11-20T07:27:38.000Z,14918577,1594230974371479553,"@ManMadeMoon Mind went to Maths with that tweet… A &amp; B/ A or B 

https://t.co/zbbv4ALJVA",
['1594067435472228353'],en,2022-11-19T20:37:47.000Z,14918577,1594067435472228353,@doubleshiny have a good day tomorrow 🙂 https://t.co/vmTjOYmR5G,
['1593638881756413956'],en,2022-11-18T16:14:52.000Z,14918577,1593638881756413956,"Use the Costa app like me and get 1 bean to start, then 5 more with your first purchase of a Costa handcrafted drink. That’s halfway towards a free one. https://t.co/Y78MK268Lf",
['1593579042476892160'],en,2022-11-18T12:17:05.000Z,14918577,1593579042476892160,"@fade2dust Not too sure on Mastodon, it’s open source created by one person… but will see how things work out. It will be a pain for followers to my cinematic account",
['1593576766144380928'],en,2022-11-18T12:08:02.000Z,14918577,1593576766144380928,"Perfect for Australian Wines!

Upside Down Wine Glass | FIREBOX® https://t.co/utHfbPXwWn",
