created_at,text,edit_history_tweet_ids,id,author_id,lang
2022-11-27T21:10:09.000Z,"RT @thechrisbarron: Walking around with an A.R. 15 is pathological. 

(And weak)",['1596974682317594624'],1596974682317594624,2832311922,en
2022-11-27T20:55:53.000Z,"RT @JamesL1927: FROZEN was released on this day in 2013 and became the highest grossing animated film of all time.

Here’s behind the scene…",['1596971091624603648'],1596971091624603648,2832311922,en
2022-11-27T20:45:53.000Z,RT @AngryBlackLady: I just want to go to the social media platform with the most dog photos,['1596968576359239680'],1596968576359239680,2832311922,en
2022-11-27T20:41:03.000Z,RT @RobertGarcia: Trans men are men. Trans women are women. Trans rights are human rights.,['1596967359243509761'],1596967359243509761,2832311922,en
2022-11-27T20:20:05.000Z,RT @nothksplz: An accurate hashtag is a degenerate act but terrorizing an entire city for three weeks isn’t? Ok clown. #Clownvoy,['1596962081517228034'],1596962081517228034,2832311922,en
2022-11-26T05:49:12.000Z,RT @PatBlanchfield: maybe obvious but worth saying: when reactionaries panic over LGBTQ people supposedly sexualizing or abusing kids but a…,['1596380529636823042'],1596380529636823042,2832311922,en
2022-11-26T05:48:50.000Z,RT @SIfill_: The perversion of the concept of being “woke” is what white supremacy does - turn the language we use about our liberation int…,['1596380439203151878'],1596380439203151878,2832311922,en
2022-11-26T05:32:56.000Z,@Dad_At_Law https://t.co/2MkQpla6k6,['1596376438684409859'],1596376438684409859,2832311922,qme
2022-11-25T23:13:33.000Z,"RT @KatyMontgomerie: List of all the people negatively affected by putting a tampon machine in the men's toilets:

 🧵",['1596280960890216448'],1596280960890216448,2832311922,en
2022-11-25T23:13:22.000Z,RT @joshgad: Happy 3 year anniversary to #Frozen2❄️❄️. Thank you all for making it the biggest animated film of all time! Love you all! #Fr…,['1596280915415961602'],1596280915415961602,2832311922,en
2022-11-25T23:09:44.000Z,@ToastedVideo @KatyMontgomerie https://t.co/U2RIGZ34eT,['1596280000445296640'],1596280000445296640,2832311922,qme
2022-11-25T23:05:39.000Z,"@DannyVegito 100% agree with the sentiment about cats…are you a #WhatWeDointheShadows fan by any chance, with your cat’s name being Nadja? :-D",['1596278972072853504'],1596278972072853504,2832311922,en
2022-11-25T21:05:38.000Z,There are plenty of valid criticisms of Justin Trudeau. “Dictator” is not one of them. Just saying.,['1596248769146007552'],1596248769146007552,2832311922,en
2022-11-25T20:09:12.000Z,https://t.co/xiHCmrwm6W,['1596234568612323328'],1596234568612323328,2832311922,zxx
2022-11-25T00:12:33.000Z,"RT @AOC: After Trump elevated anti-immigrant &amp; anti-Latino rhetoric, we had the deadliest anti-Latino shooting in modern history.

After an…",['1595933420844384259'],1595933420844384259,2832311922,en
2022-11-21T20:17:03.000Z,RT @janhavington: people who dont have cats are always like oh but they are so aloof and unattached. then why is my cat trying to break dow…,['1594786994344890405'],1594786994344890405,2832311922,en
2022-11-21T20:15:24.000Z,"RT @richardmarx: Every year since 2016, over 3,500 children or teens have been killed by guns in America. You know what has not killed a si…",['1594786578404380672'],1594786578404380672,2832311922,en
