lang,text,author_id,created_at,id,edit_history_tweet_ids
en,@BillFromIraq No worries!,2880621087,2022-11-28T01:50:35.000Z,1597045254968217600,['1597045254968217600']
en,@coffee_anytime James Earl Jones,2880621087,2022-11-28T00:37:26.000Z,1597026846520250368,['1597026846520250368']
en,@IanJaegerNPC @elonmusk Kind of early on that I would say!,2880621087,2022-11-28T00:36:36.000Z,1597026639908548610,['1597026639908548610']
en,RT @KimDotcom: Alex Jones 20 years ago in 2002. He has said some crazy shit but this video was spot on. If the propaganda media and deep st…,2880621087,2022-11-28T00:12:33.000Z,1597020584331735040,['1597020584331735040']
en,RT @GuntherEagleman: FACT: January 6th was staged by Nancy Pelosi and the FBI…  Drop the hammer!,2880621087,2022-11-28T00:11:21.000Z,1597020282916835329,['1597020282916835329']
en,@nut_history Curtis Granderson,2880621087,2022-11-27T23:54:22.000Z,1597016011600842753,['1597016011600842753']
qam,@KingJames https://t.co/AlDJcN6JZp,2880621087,2022-11-27T23:29:35.000Z,1597009774495006720,['1597009774495006720']
en,"RT @BritMartinez: When Elon Musk bought twitter, I saw celebrities noticeably upset. Some even bought Volkswagens.

We heard “Stay home. Sa…",2880621087,2022-11-27T21:38:48.000Z,1596981893865820160,['1596981893865820160']
en,"@PamelaHensley22 Warn, warn WTF!!!!",2880621087,2022-11-27T21:21:24.000Z,1596977512902717440,['1596977512902717440']
en,@LukeRussert His “money” that he sucks off the tax payer….🖕95% of the politicians that are in it to build their wealth!!,2880621087,2022-11-27T20:38:47.000Z,1596966790738759680,['1596966790738759680']
en,"RT @RyanAFournier: If you can wait hours in line for a cheap TV on Black Friday, you can vote in person.",2880621087,2022-11-27T20:24:07.000Z,1596963098417823744,['1596963098417823744']
en,@jasonselvig G HUNTER!,2880621087,2022-11-27T17:47:39.000Z,1596923721998270465,['1596923721998270465']
en,"@lindyli Lie and lie often! 

Or PEACEFULLY real meaning is violence…but I guess y’all can’t define WOMAN!",2880621087,2022-11-27T17:46:55.000Z,1596923539231477761,['1596923539231477761']
en,"@SenWarren Ethics hahahaha - you are an embarrassment with ABSOLUTELY no ethics!!

I’m part Indian….you said forever you pathetic 🤥 c u next Tuesday!",2880621087,2022-11-27T17:44:51.000Z,1596923016663142400,['1596923016663142400']
en,@McFaul What’s happening to MOST OF the J6’ers is evil….no one owns the patent on evil!,2880621087,2022-11-27T17:41:09.000Z,1596922087490613248,['1596922087490613248']
en,@ErichHa69015939 It’s like Emmet Smith with the Cardinals….go with some dignity!,2880621087,2022-11-27T01:32:07.000Z,1596678219423309824,['1596678219423309824']
zxx,RT @JackPosobiec: https://t.co/ugiYSqatk5,2880621087,2022-11-27T01:08:34.000Z,1596672293287079937,['1596672293287079937']
en,@AVindman Question is WTF do you think you are?!,2880621087,2022-11-27T00:19:34.000Z,1596659962846973952,['1596659962846973952']
en,@JackPosobiec Creeper!!,2880621087,2022-11-27T00:17:17.000Z,1596659387325554688,['1596659387325554688']
en,"@ericswalwell Or, you forgot, a Chinese spy you dumb MFer!!",2880621087,2022-11-27T00:16:13.000Z,1596659119351398400,['1596659119351398400']
en,@maricopacounty Something stinks!,2880621087,2022-11-26T10:18:07.000Z,1596448204156911616,['1596448204156911616']
en,@amchodlApe Tax attorney!,2880621087,2022-11-26T10:10:43.000Z,1596446343534301184,['1596446343534301184']
en,"RT @_fisherofmen_: Elections Results Just Past Mid Night Before The Fraud Happened.
Trump led In PA by 682,000 votes
(15.2%)
Trump led in G…",2880621087,2022-11-26T10:07:49.000Z,1596445615264653313,['1596445615264653313']
en,@ElectionWiz Bow to God only!,2880621087,2022-11-25T22:24:43.000Z,1596268673362108416,['1596268673362108416']
en,"@DarrenJBeattie This is EVERYTHING….we can’t afford more TALK! 

They have investigated hoax after hoax and tried to pin things they have done onto others….but with tons of evidence, our people in power haven’t done shit!? Why!? That’s the real question!!!",2880621087,2022-11-25T21:21:47.000Z,1596252837075648513,['1596252837075648513']
en,"@MeghanMcCain I REALLY hope we can purge you uniparty people out! 

Please listen to Jon Stewart - who I don’t really care for, but he makes a great point on this topic!!",2880621087,2022-11-25T20:56:55.000Z,1596246578989129728,['1596246578989129728']
en,RT @DarrenJBeattie: Kanye showing love to the J6 prisoners...,2880621087,2022-11-25T06:31:46.000Z,1596028855411945472,['1596028855411945472']
en,RT @amasad: This is getting ridiculous https://t.co/6ECDS6wfMq,2880621087,2022-11-25T01:35:58.000Z,1595954415621402624,['1595954415621402624']
en,"RT @Snowden: I'm thankful for the Internet. 

One day it will be free and open, edge to edge.",2880621087,2022-11-25T01:29:59.000Z,1595952909065551872,['1595952909065551872']
en,@NoLieWithBTC Sure they/them,2880621087,2022-11-24T23:39:07.000Z,1595925007485444097,['1595925007485444097']
en,RT @elonmusk: @WSJmarkets WSJ giving foot massages to a criminal,2880621087,2022-11-24T23:37:37.000Z,1595924632682389505,['1595924632682389505']
qme,@catturd2 https://t.co/lLZ8IE5bBU,2880621087,2022-11-24T23:36:55.000Z,1595924453896073216,['1595924453896073216']
en,@tylerbowyer @GOP Leadership,2880621087,2022-11-24T15:26:25.000Z,1595801015562838017,['1595801015562838017']
en,@katiehobbs This is what systemic corruption looks like!,2880621087,2022-11-23T23:07:03.000Z,1595554551695699968,['1595554551695699968']
en,@theserfstv No we are making you follow YOUR own rules!,2880621087,2022-11-23T21:15:59.000Z,1595526599272984576,['1595526599272984576']
en,"RT @KariLakeWarRoom: @DougDucey @katiehobbs The election was an absolute disaster.

An untold number of your constituents were disenfranchi…",2880621087,2022-11-23T20:58:57.000Z,1595522314988589056,['1595522314988589056']
en,@ZelenskyyUa @POTUS STOP THE MARCH TO WWIII!,2880621087,2022-11-23T20:58:30.000Z,1595522200026681351,['1595522200026681351']
en,RT @zerohedge: *AMAZON PLANS TO INVEST $1 BILLION A YEAR IN MOVIES FOR CINEMAS,2880621087,2022-11-23T17:59:33.000Z,1595477165159505920,['1595477165159505920']
en,@johnpavlovitz Yea and freedom of speech!,2880621087,2022-11-23T17:15:16.000Z,1595466020864593920,['1595466020864593920']
en,RT @TomFitton: Do over?,2880621087,2022-11-23T16:59:09.000Z,1595461963706159104,['1595461963706159104']
en,@JesseKellyDC I'm maxing them all out and voting Democrat!!,2880621087,2022-11-23T16:47:52.000Z,1595459124480733185,['1595459124480733185']
en,@AdamForColorado You should have never wore it in the first place if you hated it that much....poser!,2880621087,2022-11-23T16:44:11.000Z,1595458197053009925,['1595458197053009925']
en,"@RepMTG The talk has ALWAYS been there, it is the ACTION that never comes!

If any Rep would have followed through with their talk, we would be in a lot different position right now!",2880621087,2022-11-23T16:33:41.000Z,1595455556906385416,['1595455556906385416']
en,"@BarackObama You guys are doing a great job with drugs! Guns should be easy!

btw killing people is illegal",2880621087,2022-11-23T16:15:42.000Z,1595451029063188480,['1595451029063188480']
en,@RepJeffries umm who controls Congress now?,2880621087,2022-11-23T16:07:36.000Z,1595448990618656769,['1595448990618656769']
en,"@RepMondaire No he doesn’t, spending goes through Congress!

Does power of the 👜 mean anything to you?!",2880621087,2022-11-23T15:26:27.000Z,1595438638803734528,['1595438638803734528']
en,RT @JackPosobiec: Please DO NOT RT this deleted video of Michael Moore admitting why the people of America support Trump https://t.co/P4CAN…,2880621087,2022-11-23T05:12:20.000Z,1595284089241681920,['1595284089241681920']
en,"RT @againstgrmrs: Wrong. 

Trans women are trans women. Trans men are trans men. Non-binary identity isn’t real, but biology is.",2880621087,2022-11-22T21:58:17.000Z,1595174857288736768,['1595174857288736768']
en,RT @KariLakeWarRoom: @Garrett_Archer @MommyGyver @shelley212 @JacobPhillip801 @NDecapio @BarnettforAZ We're spending the day crunching the…,2880621087,2022-11-22T21:54:59.000Z,1595174028536254465,['1595174028536254465']
en,RT @mazemoore: What would we have ever done without you? https://t.co/QMqEyYiSfV,2880621087,2022-11-22T21:50:35.000Z,1595172919855833088,['1595172919855833088']
en,RT @AlexBerenson: THIS IS A LIE. @ASHISHKJHA - the White House Covid coordinator - IS LYING. And he knows it. The vast majority of Covid de…,2880621087,2022-11-22T20:10:45.000Z,1595147794612105216,['1595147794612105216']
en,RT @JesseKellyDC: The same news outlets STUNNED by the “new” Hunter Biden stuff are really gonna be floored when they find out why David De…,2880621087,2022-11-22T15:49:02.000Z,1595081931678715905,['1595081931678715905']
