edit_history_tweet_ids,lang,created_at,author_id,id,text
['1597080217943932930'],en,2022-11-28T04:09:30.000Z,497200393,1597080217943932930,RT @TheTNHoller: He would’ve made this exact post about anyone. They could’ve named Ivanka special counsel and he’d have said the same thin…
['1597079814435143680'],en,2022-11-28T04:07:54.000Z,497200393,1597079814435143680,"RT @aravosis: I was just chatting with a friend about this, and we were both saying that we’re not even Jewish and the recent mainstreaming…"
['1597079314033684481'],en,2022-11-28T04:05:55.000Z,497200393,1597079314033684481,RT @WalshFreedom: They’re all still afraid to call him out by name. So they all still deserve to be destroyed by him.
['1597079122739859456'],en,2022-11-28T04:05:09.000Z,497200393,1597079122739859456,"RT @BerniceKing: This hospital must remain open, Governor @tatereeves."
['1597062192222068736'],en,2022-11-28T02:57:53.000Z,497200393,1597062192222068736,RT @BradMossEsq: Byrd was in the Klan in the 1940s and spent years apologizing for it. Trump dined with Fuentes last week and hasn’t expres…
['1597062049829617665'],en,2022-11-28T02:57:19.000Z,497200393,1597062049829617665,RT @aravosis: The new Twitter: Bringing civility back to Holocaust denial.
['1597061936516325376'],en,2022-11-28T02:56:52.000Z,497200393,1597061936516325376,"RT @LOLGOP: tbf, any meal he eats is with a notorious white supremacist"
['1597061895651233792'],en,2022-11-28T02:56:42.000Z,497200393,1597061895651233792,RT @atrupar: @tedcruz Why do you hate the free market Ted?
['1597061747848155136'],en,2022-11-28T02:56:07.000Z,497200393,1597061747848155136,"RT @owillis: florida, when it hits 50 https://t.co/Vm1hsMh1aN"
['1597061573830664193'],en,2022-11-28T02:55:25.000Z,497200393,1597061573830664193,"RT @NormOrnstein: Why do you love antisemites, racists and violent insurrectionists, Ted?"
['1597061538422358016'],en,2022-11-28T02:55:17.000Z,497200393,1597061538422358016,RT @bridget123goooo: Georgia has some amazing voters! They stood in lines way longer than they should have to. The GOP’s voter suppression…
['1597061514179260417'],en,2022-11-28T02:55:11.000Z,497200393,1597061514179260417,@USATODAY Who cares?
['1597061360315424768'],en,2022-11-28T02:54:34.000Z,497200393,1597061360315424768,"RT @JoeBiden: Georgia: Early voting is underway in the runoff, and we need your help to send @ReverendWarnock back to the U.S. Senate. 

He…"
['1597061235606179841'],en,2022-11-28T02:54:05.000Z,497200393,1597061235606179841,RT @NotDevinsMom: It doesn’t. Notifications are broken for all. Timeline refresh is also broken. The block and mute buttons also don’t work…
['1597061010300760066'],en,2022-11-28T02:53:11.000Z,497200393,1597061010300760066,"RT @tomiahonen: Spiro's Ghost is correct.. RT @SpiroAgnewGhost

McConnell &amp; others know this better than anyone. They know if the party bre…"
['1597060590014697472'],en,2022-11-28T02:51:31.000Z,497200393,1597060590014697472,RT @realTuckFrumper: RACIAL JUSTICE: These two get what they deserve after trying to shoot Fed Ex driver https://t.co/WHY0iROwed
