lang,id,text,geo,created_at,author_id,edit_history_tweet_ids
en,1597031495822344192,Myself @FDSportsbook stop reminding me!! 😂😂 https://t.co/6s0PhRA7G5,{'place_id': '0026a6714f154760'},2022-11-28T00:55:54.000Z,2724754114,['1597031495822344192']
en,1597022011385335808,"God I hope. No one wants to see that blood bath! 

Thanks! 

Faithful Denver fan! https://t.co/MOArFENuro",{'place_id': '0026a6714f154760'},2022-11-28T00:18:13.000Z,2724754114,['1597022011385335808']
en,1596968550270668803,Low key excited to see the shoes Taylor H about to buy if they close this one out. #WashingtonCommanders,{'place_id': '0026a6714f154760'},2022-11-27T20:45:47.000Z,2724754114,['1596968550270668803']
en,1596968159546081280,#Germany ties it up! https://t.co/bpk3izC83n,{'place_id': '0026a6714f154760'},2022-11-27T20:44:14.000Z,2724754114,['1596968159546081280']
en,1596962916820865024,“BrOnCos OfFeNsE wOeS cOnTiNuE” https://t.co/6y8o9hAHkc,{'place_id': '0026a6714f154760'},2022-11-27T20:23:24.000Z,2724754114,['1596962916820865024']
en,1596962234953265152,Ayyee yooo #ESP scored first!!,{'place_id': '0026a6714f154760'},2022-11-27T20:20:41.000Z,2724754114,['1596962234953265152']
en,1596961607841886209,@nflnetwork Redzone shows Carolina in Red Zone territory. 😑😑 https://t.co/BQf3rGhZU4,{'place_id': '0026a6714f154760'},2022-11-27T20:18:12.000Z,2724754114,['1596961607841886209']
en,1596960093429723136,My Bears money line is looking pretty bad right now.,{'place_id': '0026a6714f154760'},2022-11-27T20:12:11.000Z,2724754114,['1596960093429723136']
en,1596957609143439360,*Begins Google searching “Who is Mike White?”* https://t.co/ocCAmBAvP2,{'place_id': '0026a6714f154760'},2022-11-27T20:02:18.000Z,2724754114,['1596957609143439360']
en,1596957227096903680,NO! NO! NO! Got to be smart here! Cannot just be taking $39 million in dead cap! https://t.co/ClntfHL0hH,,2022-11-27T20:00:47.000Z,2724754114,['1596957227096903680']
tl,1596956610378989568,haha @benhenken https://t.co/j1YkW1HBMa,,2022-11-27T19:58:20.000Z,2724754114,['1596956610378989568']
en,1596956409295687682,*Plays Hello Darkness My Old Friend* https://t.co/j0PqT4o7s4,,2022-11-27T19:57:32.000Z,2724754114,['1596956409295687682']
en,1596955268960911360,Pleassseeeeee tell me Sam Darnold did not just roll into the end zone! https://t.co/FrDr8l0RwN,{'place_id': '0026a6714f154760'},2022-11-27T19:53:00.000Z,2724754114,['1596955268960911360']
art,1596953864422715392,🤯 https://t.co/SggEqkBqAP,{'place_id': '0026a6714f154760'},2022-11-27T19:47:25.000Z,2724754114,['1596953864422715392']
en,1596952915595653120,I’m going to sayyyyyyyyy #ESP https://t.co/SWd8szmTwb,{'place_id': '0026a6714f154760'},2022-11-27T19:43:39.000Z,2724754114,['1596952915595653120']
en,1596952163028439040,"Germany Scores!! 

VAR: https://t.co/DaxFLYWqB6",{'place_id': '0026a6714f154760'},2022-11-27T19:40:40.000Z,2724754114,['1596952163028439040']
en,1596950444349493248,Offside or not Ferran Torres has to put that in the net! #FIFAWorldCup,{'place_id': '0026a6714f154760'},2022-11-27T19:33:50.000Z,2724754114,['1596950444349493248']
ht,1596950344512475136,Ayyeeee yooooo #Spain,{'place_id': '0026a6714f154760'},2022-11-27T19:33:26.000Z,2724754114,['1596950344512475136']
en,1596949441306456064,But Why? https://t.co/vTygB37xz2,,2022-11-27T19:29:51.000Z,2724754114,['1596949441306456064']
en,1596948758989676544,RT @CleatsBoots: Listen to Cleats N Boots  on Anchor https://t.co/snQ4LeNeHX,,2022-11-27T19:27:08.000Z,2724754114,['1596948758989676544']
en,1596946792561532928,Our podcast is officially twittered! Give a follow to @CleatsBoots @benhenken,{'place_id': '0026a6714f154760'},2022-11-27T19:19:19.000Z,2724754114,['1596946792561532928']
en,1596941669244735488,Yikes!!! Derrick Henry got saved there!!! @Titans,{'place_id': '0026a6714f154760'},2022-11-27T18:58:58.000Z,2724754114,['1596941669244735488']
art,1596927590904000512,🇪🇸 https://t.co/12QcWsGxe7,{'place_id': '0026a6714f154760'},2022-11-27T18:03:01.000Z,2724754114,['1596927590904000512']
en,1596883392452530178,Wow!! I don’t know about you but THIS #WorldcupQatar2022 is WIDE OPEN. https://t.co/4aATpWzXAp,{'place_id': '000cb0c147eb2f2a'},2022-11-27T15:07:24.000Z,2724754114,['1596883392452530178']
en,1596844341963755525,Costa Rica did WHAT!!! #FIFAWorldCup,{'place_id': '0026a6714f154760'},2022-11-27T12:32:13.000Z,2724754114,['1596844341963755525']
en,1596699110475812864,@TheMW2SalesPlug Enter ☑️✅✅,{'place_id': '0026a6714f154760'},2022-11-27T02:55:07.000Z,2724754114,['1596699110475812864']
en,1596698973817155584,"RT @TheMW2SalesPlug: We have another PS5 to giveaway  , simply retweet follow &amp; reply to enter ✅🔁 https://t.co/TKgAcXR2a7",,2022-11-27T02:54:35.000Z,2724754114,['1596698973817155584']
en,1596653185040789504,It was such an exceptional game!! Too bad the #USMNT couldn’t walk away with 3 points. https://t.co/u1urFFtQ4h,{'place_id': '0026a6714f154760'},2022-11-26T23:52:38.000Z,2724754114,['1596653185040789504']
en,1596592506585591808,What a first half!!! #mexicoargentina,{'place_id': '0026a6714f154760'},2022-11-26T19:51:31.000Z,2724754114,['1596592506585591808']
en,1596579226039517184,Almost TIME!! #FIFAWorldCup #MexicoVsArgentina,{'place_id': '0026a6714f154760'},2022-11-26T18:58:45.000Z,2724754114,['1596579226039517184']
en,1596261733110149120,Although no W the @usmntonly played a great game! My honest opinion is England was lucky to leave with a draw.,{'place_id': '0026a6714f154760'},2022-11-25T21:57:08.000Z,2724754114,['1596261733110149120']
qme,1596251971023167489,@budweiserusa @USMNT #ItsCalledSoccer,{'place_id': '0026a6714f154760'},2022-11-25T21:18:21.000Z,2724754114,['1596251971023167489']
en,1595825328408375296,The Plaza Hotel would be one I would love to visit. Just because of the hype from Home Alone 2 haha https://t.co/kluAPrX9Uq,{'place_id': '0026a6714f154760'},2022-11-24T17:03:01.000Z,2724754114,['1595825328408375296']
en,1595772343393067008,Hey everyone! Just wanted to wish you a Happy Thanksgiving. 🦃,{'place_id': '0026a6714f154760'},2022-11-24T13:32:29.000Z,2724754114,['1595772343393067008']
en,1595534577744973824,Listen to the most recent episode of my podcast: 102: So Much Football https://t.co/uXZCBiXvb6. Episode 2 out NOW!! Go Vote!!,{'place_id': '0026a6714f154760'},2022-11-23T21:47:41.000Z,2724754114,['1595534577744973824']
en,1595468146709766145,#SpainVsCostaRica great game for Spain. Out played Costa Rica from the start. They should be the favorites to win the group after Germany losing to Japan earlier today. #FIFAWorldCup,{'place_id': '5635c19c2b5078d1'},2022-11-23T17:23:43.000Z,2724754114,['1595468146709766145']
art,1595433941208645633,🤯🤯🤯🤯 https://t.co/jlt7C8aXWr,{'place_id': '0026a6714f154760'},2022-11-23T15:07:47.000Z,2724754114,['1595433941208645633']
en,1595196947685580800,"RT @PowerRangers: Ranger Nation, we mourn together. Today, we celebrate the heart, strength, and raw talent that Jason David Frank brought…",,2022-11-22T23:26:04.000Z,2724754114,['1595196947685580800']
en,1595111340682928129,"Cristiano is a great player. But Sir Alex said it best. “The minute a person believes he is above the club, he must leave”. This is more about Ronaldo and not about @ManUtd. Such a sad ending to his 2nd tenure with the Club",{'place_id': '017426a66ed0cb82'},2022-11-22T17:45:54.000Z,2724754114,['1595111340682928129']
art,1595109840002506752,✌️ https://t.co/rSNvQhbuns,{'place_id': '017426a66ed0cb82'},2022-11-22T17:39:56.000Z,2724754114,['1595109840002506752']
es,1595104269816008708,Ochoaaaaaaaaaaaaaa #FIFAWorldCup2022 #MEXPOL,{'place_id': '017426a66ed0cb82'},2022-11-22T17:17:48.000Z,2724754114,['1595104269816008708']
en,1595052283511070722,"RT @David_Yost: Like so many of us, I’m still struggling with it all. From the day we met we became instant bffs. We had our ups &amp; downs as…",,2022-11-22T13:51:13.000Z,2724754114,['1595052283511070722']
en,1595020658961940482,🚨🚨🚨🚨🚨🚨no way!!!! #Argentina #FIFAWorldCup,{'place_id': '925bc1bdbe54b1bd'},2022-11-22T11:45:33.000Z,2724754114,['1595020658961940482']
und,1594998046554836993,#BudweiserFWC #Giveaway 🤞🏽 https://t.co/UclbwGNHcZ,{'place_id': '0026a6714f154760'},2022-11-22T10:15:42.000Z,2724754114,['1594998046554836993']
en,1594761155473702912,RT @usmntonly: USMNT STARTING XI AGAINST WALES!!!! https://t.co/IpTINZndS9,,2022-11-21T18:34:23.000Z,2724754114,['1594761155473702912']
en,1594667468429135873,Let’s go #USA #FIFAWorldCup https://t.co/YtCz35nXTs https://t.co/EfpWYnDuOb,{'place_id': '017426a66ed0cb82'},2022-11-21T12:22:06.000Z,2724754114,['1594667468429135873']
en,1594485749575213057,Hackett!! McDaniels at least had a 6 game winning streak before he imploded and did it with Kyle Orton https://t.co/fLtsp5hane,{'place_id': '0026a6714f154760'},2022-11-21T00:20:01.000Z,2724754114,['1594485749575213057']
en,1594475174358925312,T-Rex for sure! https://t.co/ZcXXGZA4T8,{'place_id': '0026a6714f154760'},2022-11-20T23:38:00.000Z,2724754114,['1594475174358925312']
en,1594371312071237632,Power Rangers was a show in which I first learned about leadership. I’m sad about this. #RIPJDF https://t.co/5hXCsu2w1m,,2022-11-20T16:45:17.000Z,2724754114,['1594371312071237632']
en,1594309899260989442,Great selection. Such an awesome player. Doing great things at Leeds United. https://t.co/JRp98mR9BQ,{'place_id': '0026a6714f154760'},2022-11-20T12:41:15.000Z,2724754114,['1594309899260989442']
en,1594309815651962881,It’s finally here!!! #FIFAWorldCup2022,{'place_id': '0026a6714f154760'},2022-11-20T12:40:55.000Z,2724754114,['1594309815651962881']
en,1593940471830614016,101  Ole Ole Ole https://t.co/TIva1jmLBk via @YouTube Check out our video podcast.,{'place_id': '012bcc3675fdcc96'},2022-11-19T12:13:17.000Z,2724754114,['1593940471830614016']
en,1593751361316864001,RT @RealScreenGeek: We're giving away a LEGO Marvel Studios MCU Infinity Gauntlets! All you have to do is retweet this AND FOLLOW us for yo…,,2022-11-18T23:41:49.000Z,2724754114,['1593751361316864001']
en,1593725403428003845,Awesome work Dr B! https://t.co/Mx7jmHQRt1,{'place_id': '0026a6714f154760'},2022-11-18T21:58:40.000Z,2724754114,['1593725403428003845']
und,1593609502439325696,@ebubar 😂😂😂,{'place_id': '017426a66ed0cb82'},2022-11-18T14:18:07.000Z,2724754114,['1593609502439325696']
en,1593591905027334145,"“I am not extra! I’m very low key,and just try to have a little fun” 

Also Me: https://t.co/8Mj6O6bg70",{'place_id': '017426a66ed0cb82'},2022-11-18T13:08:12.000Z,2724754114,['1593591905027334145']
en,1593545080438247424,101  Ole Ole Ole https://t.co/TIva1jEmZU via @YouTube Clears N Boots is also live on YouTube!,{'place_id': '0026a6714f154760'},2022-11-18T10:02:08.000Z,2724754114,['1593545080438247424']
en,1593410174060044289,I just published the first episode of my new podcast! Listen to Cleats &amp; Boots  on @anchor https://t.co/u7HPIuLu0e. ITS LIVE!,{'place_id': '0026a6714f154760'},2022-11-18T01:06:04.000Z,2724754114,['1593410174060044289']
en,1593341441551507457,Did someone say Pie Eating contest? @OsbournParkHS congrats Mr P on your victory!! https://t.co/z6l01ucy8e,{'place_id': '012bcc3675fdcc96'},2022-11-17T20:32:57.000Z,2724754114,['1593341441551507457']
en,1592830795022233601,Low key plugging my show!! BOLO for the first episode of Cleats N Boots w/ @Mr_Hernandez_21  and @benhenken https://t.co/laM8zVuk0R,{'place_id': '0026a6714f154760'},2022-11-16T10:43:49.000Z,2724754114,['1592830795022233601']
en,1591774383181533184,RT @OriginalFunko: RT and follow @OriginalFunko for the chance to WIN the Black Panther: Wakanda Forever - Namor POP! Not feeling lucky? Or…,,2022-11-13T12:46:01.000Z,2724754114,['1591774383181533184']
en,1591487499075190785,"Check out my podcast, Cleats N Boots , on @anchor! https://t.co/eg3TU9FGyn Check out a fun project @benhenken and I are working on. BOLO for our first episode where we preview the upcoming #FIFAWorldCup",{'place_id': '0026a6714f154760'},2022-11-12T17:46:02.000Z,2724754114,['1591487499075190785']
en,1590948402048962561,#BlackPanther #WakandaForever was an amazing movie!!! The emotion through out the movie was incredible. Loved every minute of it. You have to experience it in theaters.,{'place_id': '000b619e3fa2390b'},2022-11-11T06:03:52.000Z,2724754114,['1590948402048962561']
en,1590734932996808706,Who else is excited for the #WorldCup2022 #USMNT https://t.co/M27qbWt9EV,,2022-11-10T15:55:37.000Z,2724754114,['1590734932996808706']
en,1590672979511631874,RT @OriginalFunko: RT and follow @OriginalFunko for the chance to WIN the Funko shop exclusive Apex Legends: Watson with Nessie (Cyber Punk…,,2022-11-10T11:49:26.000Z,2724754114,['1590672979511631874']
en,1589762652930461697,Check out HangingWithMrH's video! #TikTok https://t.co/KwQbk0QGjV,{'place_id': '0026a6714f154760'},2022-11-07T23:32:07.000Z,2724754114,['1589762652930461697']
en,1588843465731092482,RT @OriginalFunko: RT and follow @OriginalFunko for the chance to WIN the Art Series Black Panther POP! Not feeling lucky? Order now:https:…,,2022-11-05T10:39:36.000Z,2724754114,['1588843465731092482']
en,1588279133582524416,@marymountu @ebubar @VFIC15 Such an awesome tweet! I’m proud of you Dr B! Such an awesome educator and one of my favorites during my undergrad studies @marymountu inspiring! Need to come visit one day to collaborate!,{'place_id': '0026a6714f154760'},2022-11-03T21:17:08.000Z,2724754114,['1588279133582524416']
en,1586571412969603073,How did we do @NSYNC?? https://t.co/y0bUHmW1Xw,,2022-10-30T04:11:16.000Z,2724754114,['1586571412969603073']
en,1586369962947776512,"RT @Becauseofthem: A Howard University grad made history by becoming the first Black woman officer in the U.S. Air Force Thunderbirds.
http…",,2022-10-29T14:50:47.000Z,2724754114,['1586369962947776512']
en,1586023003019956224,"Excuse me, no photos please! Haha 😂 https://t.co/NTFhYx5cxC",{'place_id': '017426a66ed0cb82'},2022-10-28T15:52:05.000Z,2724754114,['1586023003019956224']
und,1585591547030126596,Yesss!! https://t.co/RxFxtBFfOB https://t.co/J9VAcoLfur,{'place_id': '017426a66ed0cb82'},2022-10-27T11:17:38.000Z,2724754114,['1585591547030126596']
en,1585436241046249472,@_AndyJacks Nothing like fresh pupusas off the heat!!,{'place_id': '0026a6714f154760'},2022-10-27T01:00:30.000Z,2724754114,['1585436241046249472']
en,1584325515694874624,😢 @Broncos Still love y’all!! This is hard tho! Especially becasue we have no 1st rd picks,{'place_id': '0026a6714f154760'},2022-10-23T23:26:52.000Z,2724754114,['1584325515694874624']
en,1583886493462167552,Casemiero!!! At the DEATH!! @ManUtd,{'place_id': '0026a6714f154760'},2022-10-22T18:22:21.000Z,2724754114,['1583886493462167552']
en,1583812545629913093,The power of kindness! Do your thing @MicahhParsons11 https://t.co/1skqRgXQ6N,{'place_id': '0026a6714f154760'},2022-10-22T13:28:31.000Z,2724754114,['1583812545629913093']
en,1583811975334612992,This makes me so angry. https://t.co/0QE4ybN6zA,{'place_id': '0026a6714f154760'},2022-10-22T13:26:15.000Z,2724754114,['1583811975334612992']
en,1583627647657000962,Amazing program that Mr P runs at @OsbournParkHS  great job! https://t.co/LBmh7WQQjc,{'place_id': '0026a6714f154760'},2022-10-22T01:13:48.000Z,2724754114,['1583627647657000962']
en,1583559769386016769,I feel attacked here because that’s my fav! https://t.co/Mw61aLdFSE,{'place_id': '0026a6714f154760'},2022-10-21T20:44:04.000Z,2724754114,['1583559769386016769']
en,1583522609853267968,RT @DrBradJohnson: For teachers to be “All In” doesn’t mean they have to be at school til 7 every night.  Doesn’t mean they need to take sc…,,2022-10-21T18:16:25.000Z,2724754114,['1583522609853267968']
en,1583240284350992385,Check out HangingWithMrH's video! #TikTok https://t.co/KVv7M0IVw4,{'place_id': '0026a6714f154760'},2022-10-20T23:34:33.000Z,2724754114,['1583240284350992385']
en,1583131026527703040,RT @Barstooldmv: YOOOOO these are fire https://t.co/aLQGSFctN6,,2022-10-20T16:20:24.000Z,2724754114,['1583131026527703040']
en,1582070993488875520,Nothing like a speaking activity to practice our language. These S’s are killing it and so proud of their growth!! @OsbournParkHS https://t.co/8bCXWgSJrV,{'place_id': '017426a66ed0cb82'},2022-10-17T18:08:12.000Z,2724754114,['1582070993488875520']
en,1582026871004598272,Today students worked on learning the difference between Eukaryotic and Prokaryotic cells. They gain the information through a short reading and then they teach their group mates. We did the same with animal and plant cells. https://t.co/xVL29Hvscf,{'place_id': '017426a66ed0cb82'},2022-10-17T15:12:53.000Z,2724754114,['1582026871004598272']
en,1582026491462037505,Having our ELLs practice their speaking by making observations about certain types of rocks. They write their responses on a table to help them form complete sentences. https://t.co/o05wFmYBlG,{'place_id': '017426a66ed0cb82'},2022-10-17T15:11:22.000Z,2724754114,['1582026491462037505']
en,1581282469008973825,It was Pep Rally Day!! Representing Seniors this year with my squad! @OsbournParkHS #OnceAJacketAlwaysAJacket #Classof2023 https://t.co/RNgqkiuonS,{'place_id': '0026a6714f154760'},2022-10-15T13:54:54.000Z,2724754114,['1581282469008973825']
en,1580737437860786176,“Mr Hernandez would you like to MC the Hall of Fame” 😀😀I was a bit excited lol. https://t.co/Cw0t4IElcd,{'place_id': '015ac8fc158ff38e'},2022-10-14T01:49:08.000Z,2724754114,['1580737437860786176']
en,1580734315251781633,So honored to have seen Mr Foley get inducted into the @OPJackets Hall of Fame! Thanks for supporting me when I was a student! https://t.co/xjflfe6Uo4,{'place_id': 'bd2c3c1743dc3dcf'},2022-10-14T01:36:44.000Z,2724754114,['1580734315251781633']
en,1580267781966401536,“My life be like…” https://t.co/Kv3RZlFHmZ,,2022-10-12T18:42:53.000Z,2724754114,['1580267781966401536']
en,1578482430175899648,RT @DailyBroncos: Waited 6 months for the #Broncos to start finally thinking they had a QB &amp; coach only for them to be a national laughing…,,2022-10-07T20:28:32.000Z,2724754114,['1578482430175899648']
en,1578449651790815232,@RGIII “You forgot to take what out of the freezer?”,{'place_id': '017426a66ed0cb82'},2022-10-07T18:18:17.000Z,2724754114,['1578449651790815232']
qam,1578423193630834689,@OsbournParkHS https://t.co/6ow9iMzc2R,{'place_id': '017426a66ed0cb82'},2022-10-07T16:33:09.000Z,2724754114,['1578423193630834689']
en,1578423111120060417,Country v Country Club Day….you can find us on the Golf Course 🏌🏾‍♂️🏌🏾‍♂️,{'place_id': '017426a66ed0cb82'},2022-10-07T16:32:50.000Z,2724754114,['1578423111120060417']
en,1578332733780041728,This reminds of the the look my wife gave me when I forgot to take the meat out to defrost for dinner. 😂😂 https://t.co/2g001Y826x,{'place_id': '012bcc3675fdcc96'},2022-10-07T10:33:42.000Z,2724754114,['1578332733780041728']
en,1577425817550082050,@Lucas_BeckyL @MelodySamsel @WannToLearn @EllisSoars Go Becky!! Hope all is well!,{'place_id': 'ec212eb1116b92e2'},2022-10-04T22:29:56.000Z,2724754114,['1577425817550082050']
qst,1577056513973112832,RT @ChrisEvans: ❤️‍🔥,,2022-10-03T22:02:27.000Z,2724754114,['1577056513973112832']
en,1574898207817179137,@JillWebs Yooo this is cool. Our ELL population would benefit from this activity. How can I get the template?,{'place_id': '0026a6714f154760'},2022-09-27T23:06:07.000Z,2724754114,['1574898207817179137']
en,1574896731132776448,"RT @RealHughJackman: Yeah, sure. https://t.co/LaSBjDeLjI",,2022-09-27T23:00:15.000Z,2724754114,['1574896731132776448']
en,1574550168346669056,I see Saturn. https://t.co/PaxPeSOXYd,{'place_id': '0026a6714f154760'},2022-09-27T00:03:08.000Z,2724754114,['1574550168346669056']
en,1574239622997372929,Feel like it’s deja vu…..Go @Broncos https://t.co/0LLJ5o4Lk5,{'place_id': '0026a6714f154760'},2022-09-26T03:29:08.000Z,2724754114,['1574239622997372929']
