lang,edit_history_tweet_ids,text,geo,author_id,id,created_at
en,['1596962146763837441'],Any one can guide me any good hotel in Patna ?? And place to see …,{'place_id': '29bb415ee6913e39'},4668238213,1596962146763837441,2022-11-27T20:20:20.000Z
en,['1594777867451215872'],@yesthat_girl Under metro station taking photo’s  strictly prohibited!!!,{'place_id': '29bb415ee6913e39'},4668238213,1594777867451215872,2022-11-21T19:40:47.000Z
en,['1591289555638161408'],@aru_ghoshh @hotty_vrusha143 @noty_aditii @Mahak_5571 @ydv_sonika_0008 @Shikha3s4 @0anjali786 @aditi_bnw @AvaniDixit8 Nice ghosh Boudi,{'place_id': '29bb415ee6913e39'},4668238213,1591289555638161408,2022-11-12T04:39:29.000Z
en,['1589541349254402050'],@TofaniOra Nice 👍,{'place_id': '29bb415ee6913e39'},4668238213,1589541349254402050,2022-11-07T08:52:44.000Z
zxx,['1586777784440872960'],https://t.co/HveSd1FJfN,{'place_id': '29bb415ee6913e39'},4668238213,1586777784440872960,2022-10-30T17:51:19.000Z
hi,['1586654441058750467'],@vikasbha Mere ghar ke piche 😁😁 wale gali me hai .,{'place_id': '29bb415ee6913e39'},4668238213,1586654441058750467,2022-10-30T09:41:12.000Z
tl,['1584514467303342080'],@Isoumyas Lovely 😊. Happy Diwali 🪔,,4668238213,1584514467303342080,2022-10-24T11:57:42.000Z
ca,['1578111376349810688'],Durga pujo inauguration🙏🙏 https://t.co/sFRrn9Hl2v,{'place_id': '29bb415ee6913e39'},4668238213,1578111376349810688,2022-10-06T19:54:06.000Z
en,['1571920099455684608'],@Isoumyas Nice with hot looking always . Where do you located?? Really impressive 😊.,,4668238213,1571920099455684608,2022-09-19T17:52:11.000Z
en,['1571451631455313920'],@nerds_feed How to buy ??,,4668238213,1571451631455313920,2022-09-18T10:50:39.000Z
en,['1570508768236163073'],Any one can tell where it is ?? https://t.co/RHdv8R5UsC,{'place_id': '07d9cdaf22083001'},4668238213,1570508768236163073,2022-09-15T20:24:03.000Z
en,['1570506080450650116'],Who knows about this wonderful place 😎 https://t.co/eAZAlPFaJY,,4668238213,1570506080450650116,2022-09-15T20:13:22.000Z
en,['1565317408818368514'],"@thehomestays It’s my place ,Visakhapaham",,4668238213,1565317408818368514,2022-09-01T12:35:27.000Z
no,['1564906984209494016'],@supriyasahuias 7 seater byke,,4668238213,1564906984209494016,2022-08-31T09:24:34.000Z
en,['1551930520816287744'],@Resmi_R_Nair Your car is ☝️ B listed https://t.co/kXgfVDfAmm,,4668238213,1551930520816287744,2022-07-26T14:00:44.000Z
en,['1551465889408491521'],@Isoumyas i phone and girl friend both are same 😎.,,4668238213,1551465889408491521,2022-07-25T07:14:27.000Z
tl,['1551138195844108288'],@JharkhandCMO Resort agar banaye purvi Singhbhum tourism ke liya tho kaya package humlogo ko milega .,,4668238213,1551138195844108288,2022-07-24T09:32:19.000Z
en,['1549705177287909376'],@Resmis12 What do you do ?? And where are you located??,,4668238213,1549705177287909376,2022-07-20T10:38:01.000Z
en,['1545106937292787712'],@Isoumyas Homeless 🤔,,4668238213,1545106937292787712,2022-07-07T18:06:15.000Z
