text,edit_history_tweet_ids,author_id,created_at,id,lang,geo
@stephenfgordon I'm staying here until this ship sinks. And it's looking more stable than it had been. But I'd wanted some way of having econ as my home feed while posting to a different one; I mainly follow NZ policy stuff and that's of niche interest only. Seemed to require multiple accounts.,['1597061568248020993'],47207737,2022-11-28T02:55:24.000Z,1597061568248020993,en,
"@AaronIncognito @BenThomasNZ I don't know whether my concluding that school breakfast programmes internationally didn't seem all that cost-effective means I passed or failed that test. 

https://t.co/b5JfRv6gJc

https://t.co/lqixbenHlY",['1597060832617443328'],47207737,2022-11-28T02:52:29.000Z,1597060832617443328,en,
@stefanolson @piwakawakaracin But we'd have to look a lot more closely at it to be able to make a call on merits of privatisation vs private contracted management vs all of it being run by councils / new entities.,['1597060281779519488'],47207737,2022-11-28T02:50:17.000Z,1597060281779519488,en,
"@stefanolson @piwakawakaracin If you have a water quality regulator, which we do now have, and if you have commercial regulation dealing to local monopoly issues, which we're likely to have over the top of the proposed entities, then the biggest potential problems are dealt to.",['1597059673299255296'],47207737,2022-11-28T02:47:52.000Z,1597059673299255296,en,
"@stefanolson @piwakawakaracin I can't remember having written on it. I have written on volumetric charging and on cap-and-trade systems for water abstraction, but those are different things.",['1597049579437842432'],47207737,2022-11-28T02:07:46.000Z,1597049579437842432,en,{'place_id': '013b5456649606dc'}
@piwakawakaracin https://t.co/rRiI7tJSMQ,['1596998051218214912'],47207737,2022-11-27T22:43:00.000Z,1596998051218214912,qme,
"@piwakawakaracin So now we also secretly control the country's constitutional law experts, who wrote an open letter on it?

Good to know!",['1596990845861113856'],47207737,2022-11-27T22:14:22.000Z,1596990845861113856,en,
"RT @drjakesmith: As a member of 3W Working Group, this entrenchment idea as presented and discussed was part of a suite of ideas that were…",['1596962232188907520'],47207737,2022-11-27T20:20:40.000Z,1596962232188907520,en,
"There is more constitutional spirit left than I had thought, or than either Labour or @EugenieSage were counting on.

The pushback against this move has been excellent.

https://t.co/MWnMP3Gnc1

via @GoogleNews https://t.co/0KowDoFkvL",['1596961711809970178'],47207737,2022-11-27T20:18:36.000Z,1596961711809970178,en,{'place_id': '013b5456649606dc'}
"It will be great if this gets fixed. I hope it does.

Would be good if fewer things were rushed through as SOPs under urgency. We won't always be lucky enough that a law prof finds time amid grading to notice. https://t.co/MlcYjeptfC",['1596937570771824642'],47207737,2022-11-27T18:42:41.000Z,1596937570771824642,en,{'place_id': '013b5456649606dc'}
"RT @NZStuffPolitics: The ""entrenchment"" of public ownership of water assets, voted through hastily by the Government and Green Party last w…",['1596900416268427265'],47207737,2022-11-27T16:15:02.000Z,1596900416268427265,en,
"RT @FloridaThales: A themed #stablediffusionart thread:

Cyberpunk Byzantium.

In a universe where Constantinople stood firm into the futur…",['1596748523566878726'],47207737,2022-11-27T06:11:28.000Z,1596748523566878726,en,
