lang,text,edit_history_tweet_ids,created_at,author_id,id,withheld
en,The what https://t.co/9n28BeRCkB,['1597054214223843328'],2022-11-28T02:26:11.000Z,1274533719106301952,1597054214223843328,
en,Hot: Iranian protesters hang up a banner saying “long live socialism” and play a version of Katyusha https://t.co/oekn5Nbo9c,['1597051861441576960'],2022-11-28T02:16:50.000Z,1274533719106301952,1597051861441576960,
en,"RT @bruh76027799: @Art0fLife_ 1. Quit your job.

2. Spend your day drinking alcohol and doing cocaine.

3. Stop drinking water. 

4. Stop e…",['1597049943356678144'],2022-11-28T02:09:12.000Z,1274533719106301952,1597049943356678144,
en,"My cover of a Taiwanese song, “Song of May First”, a cover of the anthem of KMU. Long live proletarian internationalism! https://t.co/1RD14u5jn2",['1597041864666157056'],2022-11-28T01:37:06.000Z,1274533719106301952,1597041864666157056,
en,What Filipino fishermen see when a Chinese coast guard vessel appears: https://t.co/zfTFttkdbf,['1597019940531605506'],2022-11-28T00:09:59.000Z,1274533719106301952,1597019940531605506,
en,"RT @TheIntlMagz: A 12-year-old Palestinian girl is brutally assaulted by Israel in occupied Jerusalem.
You will never see this in mainstrea…",['1596971267051388928'],2022-11-27T20:56:35.000Z,1274533719106301952,1596971267051388928,
en,@coldpuzza Idk if this helps but I ordered some Greek food which made me feel a lot better!,['1596962946919575552'],2022-11-27T20:23:31.000Z,1274533719106301952,1596962946919575552,
en,RT @AlanRMacLeod: I like maps! https://t.co/F0ItzFZ2lW,['1596932271503646720'],2022-11-27T18:21:37.000Z,1274533719106301952,1596932271503646720,
en,RT @linenuism: cops probably pissed their pants and ran off to a side street lmfaooooo,['1596930811315466241'],2022-11-27T18:15:49.000Z,1274533719106301952,1596930811315466241,
en,Dengists coping https://t.co/bnLz8oqv7k,['1596922893505810434'],2022-11-27T17:44:21.000Z,1274533719106301952,1596922893505810434,
en,RT @EliDFriedman: Singing The Internationale in Chengdu too. Still within the repertoire of relatively safe songs/chants but compared to th…,['1596918554334760960'],2022-11-27T17:27:07.000Z,1274533719106301952,1596918554334760960,
en,RT @bucephalus424: We need a unified aesthetic theory for why mountain/highland peoples around the world are so swagged out https://t.co/QP…,['1596905311218327553'],2022-11-27T16:34:29.000Z,1274533719106301952,1596905311218327553,
en,“Let those with ears use them and listen!” Matthew 11:15,['1596740575558250497'],2022-11-27T05:39:53.000Z,1274533719106301952,1596740575558250497,
en,Hot: Chinese students confront security and sing the Internationale https://t.co/sRD4WqpFbs,['1596737057556422657'],2022-11-27T05:25:55.000Z,1274533719106301952,1596737057556422657,
en,"“Would it not in that case
Be simpler for the government
To dissolve the people
And elect another?”
Brecht https://t.co/qqzWb5fs7T",['1596731023857188864'],2022-11-27T05:01:56.000Z,1274533719106301952,1596731023857188864,
en,Communism is bad because capitalist privatization destroyed capitalist state monopoly https://t.co/Rpw8DEJodu,['1596730620025397248'],2022-11-27T05:00:20.000Z,1274533719106301952,1596730620025397248,
en,RT @bronze_chungus: Man skipped every age group and went straight to being a 65 year old Fox News millionaire with a trophy wife https://t.…,['1596712488779018240'],2022-11-27T03:48:17.000Z,1274533719106301952,1596712488779018240,
