created_at,text,edit_history_tweet_ids,id,author_id,lang,geo
2022-11-28T02:50:14.000Z,RT @KevinLevin: Finished reading @ClintSmithIII's fabulous cover story @TheAtlantic. I highly recommend it. Whenever I talk about this with…,['1597060267224887296'],1597060267224887296,789397585,en,
2022-11-28T01:10:07.000Z,👀👀👀 https://t.co/yl5VaQMPwK,['1597035074897125376'],1597035074897125376,789397585,art,{'place_id': 'ff411f458e3317d9'}
2022-11-28T00:33:20.000Z,"RT @Noahpinion: Russia: Losing a war to a country 1/4 its size
Iran: Massive protests
China: Increasing protests, sputtering economy

U.S.:…",['1597025818093703168'],1597025818093703168,789397585,en,
2022-11-27T20:21:00.000Z,"RT @AP: Across America, high school football seasons are wrapping up the first year since the Supreme Court ruled it was OK for a public sc…",['1596962314062004224'],1596962314062004224,789397585,en,
2022-11-27T20:16:16.000Z,"RT @BenScottStevens: All of these things can be true:

• Wisconsin is one of the best jobs in the country
• Luke Fickell is an excellent hi…",['1596961123840163841'],1596961123840163841,789397585,en,
2022-11-27T19:14:39.000Z,RT @BenBrust: I don’t blame 18-22 year for being upset. They don’t know any better. Hiring a head coach for a major university is bigger th…,['1596945618186170369'],1596945618186170369,789397585,en,
2022-11-27T13:30:27.000Z,"RT @atdanwhite: The 19-year-olds who attend my favorite university didn’t score enough touchdowns today so I’m in the basement, drinking un…",['1596858995846746112'],1596858995846746112,789397585,en,
2022-11-27T00:13:14.000Z,RT @BenBrust: I look forward to never seeing #5 throw a pass ever again at Wisconsin. I bought into the hype… best QB recruit in Wisconsin…,['1596658370299265024'],1596658370299265024,789397585,en,
2022-11-27T00:13:04.000Z,HC and QB1 search begins immediately. These guys ain’t it.,['1596658326884220929'],1596658326884220929,789397585,en,{'place_id': 'ff411f458e3317d9'}
2022-11-26T21:26:20.000Z,@jaywillis Also rough: Nate Silver stans.,['1596616367263911938'],1596616367263911938,789397585,en,{'place_id': '9f2cf908e8d73cd6'}
2022-11-26T13:15:27.000Z,"RT @cakesthebrain: As a teacher, you’re sometimes privileged to witness life moments. I saw a girl approach a boy to ask if he wanted her n…",['1596492834521190402'],1596492834521190402,789397585,en,
2022-11-26T12:50:15.000Z,"RT @KBAndersen: When you’ve lost Breitbart….
“Breitbart News has repeatedly asked the Trump campaign for comment over the course of more th…",['1596486492964151296'],1596486492964151296,789397585,en,
2022-11-26T12:40:16.000Z,"RT @Taniel: So, 17 of 20 members of Alaska's incoming senate have just formed a coalition to govern the chamber.

It'll include all 9 Dems,…",['1596483977442983936'],1596483977442983936,789397585,en,
2022-11-25T02:14:38.000Z,RT @Steven_Hyden: Never forget: The only Thanksgiving halftime show that ever mattered. https://t.co/g2hODQ1641,['1595964145035190272'],1595964145035190272,789397585,en,
2022-11-25T00:22:48.000Z,RT @dknightlaw: @fivefourpod I’m Richard Glossip’s lead lawyer on his innocence claim. I think this is one of the best pieces on this compl…,['1595936000659759105'],1595936000659759105,789397585,en,
2022-11-24T03:12:45.000Z,RT @VanLathan: WOULD YOU HAVE ALLOWED HIM TO SIT DOWN AT A RESTAURANT IN 1960?,['1595616382334418950'],1595616382334418950,789397585,en,
2022-11-24T00:40:17.000Z,"RT @Pres_Bartlet: Good afternoon, @butterball. First of all I’d like to say what a wonderful service you provide. 

Stuffing should be stuf…",['1595578015186042881'],1595578015186042881,789397585,en,
2022-11-23T17:17:06.000Z,"I will miss having my kids reject her candy in the Glendale 4th of July parade. One of my proudest parent moments was having my son tell her, “I would rather my daddy have collective bargaining rights!” https://t.co/SN2PYGdxSe",['1595466484364574721'],1595466484364574721,789397585,en,{'place_id': 'ff411f458e3317d9'}
2022-11-23T03:34:51.000Z,The probability of me arguing with 538 burner accounts going forward is exactly 0%. https://t.co/XHaV4eZr1B,['1595259555503800320'],1595259555503800320,789397585,en,{'place_id': 'ff411f458e3317d9'}
2022-11-22T23:52:11.000Z,@iselin_michelle Price gouging much?,['1595203519811911680'],1595203519811911680,789397585,en,{'place_id': 'ff411f458e3317d9'}
2022-11-22T22:40:35.000Z,Right after the election….🤔 https://t.co/H5lkX6uxRF,['1595185500406562817'],1595185500406562817,789397585,en,{'place_id': 'ff411f458e3317d9'}
2022-11-22T21:32:14.000Z,RT @daveweigel: It's not up to the White House to decide who covers Naomi Biden's wedding. The Constitution reserves that power for the sta…,['1595168301461958656'],1595168301461958656,789397585,en,
2022-11-22T19:39:57.000Z,RT @lawrencehurley: BREAKING: Supreme Court allows House Democrats to seek Donald Trump's tax records,['1595140045954248705'],1595140045954248705,789397585,en,
2022-11-22T19:16:32.000Z,"RT @sbauerAP: @SpeakerVos @SenatorDevin @GovEvers Vos says that had Republican Tim Michels defeated Evers, Vos thought about ""riding off in…",['1595134153280073728'],1595134153280073728,789397585,en,
2022-11-22T17:21:01.000Z,RT @UWMadisonLS: Research by @UWLaFollette's @laurenlschmitz suggests exposure to stressors during early stages of development has an adver…,['1595105081011359744'],1595105081011359744,789397585,en,
2022-11-22T17:07:54.000Z,RT @twwgifs: https://t.co/eO359hoqW9,['1595101780840484864'],1595101780840484864,789397585,zxx,
2022-11-22T15:58:09.000Z,"RT @Taniel: We just got the first runoff poll of Georgia: It's Fabrizio/Anzalone for AARP. 

Warnock 51%, Walker 47%.

(The same sample say…",['1595084227514716162'],1595084227514716162,789397585,en,
2022-11-22T13:51:06.000Z,"RT @JasonAblin: There, fixed it. https://t.co/UyiWXcKOg0",['1595052255379685377'],1595052255379685377,789397585,en,
2022-11-21T23:26:34.000Z,"RT @ewarren: The Supreme Court needs a binding code of ethics, not an honor system. And I’ve got a bill for that.",['1594834686437720067'],1594834686437720067,789397585,en,
2022-11-21T18:50:40.000Z,"RT @pbump: Huh! I wonder what has changed in the past, say, two weeks? https://t.co/8vUyEZ6Gda",['1594765254596169742'],1594765254596169742,789397585,en,
2022-11-21T15:17:00.000Z,"RT @StephenThorson: 2/3 of Tony Evers' votes came from outside Dane or MKE counties. Those 876,000 votes translated into 14 of the 99 seats…",['1594711482939342848'],1594711482939342848,789397585,en,
2022-11-20T19:53:47.000Z,"RT @steve_vladeck: “Because I want to win.”

Power over principle, Exhibit 4,936,820.",['1594418750937186304'],1594418750937186304,789397585,en,
2022-11-20T17:58:44.000Z,RT @js_politics: Paul Ryan calls himself a 'never-again-Trumper' and says Republicans will lose in 2024 with Trump on ticket https://t.co/l…,['1594389795945742336'],1594389795945742336,789397585,en,
2022-11-20T16:53:59.000Z,RT @StuLevitan: Cannot wait to see this.,['1594373502324584448'],1594373502324584448,789397585,en,
2022-11-18T13:21:49.000Z,"RT @ConanOBrien: Just in case, I’m ConeBone69 on Yahoo! Groups",['1593595332247576578'],1593595332247576578,789397585,en,
2022-11-18T02:30:05.000Z,Violin playing on the titanic… https://t.co/GwIS14g2mS,['1593431317693100032'],1593431317693100032,789397585,en,
2022-11-18T01:56:50.000Z,RT @twwgifs: https://t.co/BaLxO2efAF,['1593422951025557504'],1593422951025557504,789397585,zxx,
2022-11-18T00:37:10.000Z,"RT @royermattw: Looking at what @GovernorVA deems appropriate in response to the CRT Craze: 
- Removing MLK from the elementary curriculum…",['1593402902479077377'],1593402902479077377,789397585,en,
2022-11-17T23:22:27.000Z,RT @tmj4: Live from the TMJ4 newsroom: https://t.co/agq7g0Hnl0,['1593384097023508480'],1593384097023508480,789397585,en,
2022-11-17T22:51:12.000Z,Thanks so much to ⁦@CharlesBenson4⁩ and ⁦@tmj4⁩ for having me on today to talk about George Wallace in Wisconsin! https://t.co/SfFgstw8qm,['1593376236310609922'],1593376236310609922,789397585,en,
2022-11-17T17:30:18.000Z,RT @LisaDNews: BREAKING: Pelosi will not seek to be Democratic leader.  She will remain in the House but not as leader.,['1593295475775619072'],1593295475775619072,789397585,en,
2022-11-17T11:45:39.000Z,RT @SIfill_: This school board take over in South Carolina is chilling. Understand that “democracy” has not been “saved” yet. There is stil…,['1593208744699387905'],1593208744699387905,789397585,en,
2022-11-17T02:09:13.000Z,Really glad I got to catch up some of my favorite former students tonight at Leopolds in Madtown for my “book talk” on George Wallace in Wisconsin. Cool to hear all the great things they are up to! https://t.co/0eV76SPeMT,['1593063678680567808'],1593063678680567808,789397585,en,
2022-11-17T00:51:28.000Z,RT @Yamiche: NBC News: GOP has won back control of the U.S. House.,['1593044112491835392'],1593044112491835392,789397585,en,
2022-11-17T00:50:38.000Z,"RT @janecoaston: Again, on a list of things that would have straight up blown my mind as a kid, this is up there.",['1593043903401590784'],1593043903401590784,789397585,en,
2022-11-16T21:43:33.000Z,"RT @mkraju: 62-37, Senate advances bill to protect same-sex marriage. It still needs to clear another 60-vote procedural hurdle, pass the S…",['1592996823576481793'],1592996823576481793,789397585,en,
2022-11-16T21:00:32.000Z,RT @bcburden: A few observations on the 3.5-point Tony Evers victory Wisconsin compared to his 1-point victory in 2018. 1/4,['1592985997595533312'],1592985997595533312,789397585,en,
2022-11-16T18:51:31.000Z,"RT @KSVesq: We have, as a society, become far too lenient with the word taco https://t.co/kjEqAqInhi",['1592953528464834560'],1592953528464834560,789397585,en,
2022-11-16T18:15:24.000Z,@NFL_Scorigami? https://t.co/smD1wTPJde,['1592944437826813952'],1592944437826813952,789397585,qam,{'place_id': '27be25bfb3af9d64'}
2022-11-16T18:09:45.000Z,RT @ChristineRomans: NY Post: Florida Man Makes Announcement —&gt; story deep inside on page 26. https://t.co/rccr3OcD1P,['1592943018973069312'],1592943018973069312,789397585,en,
2022-11-16T18:08:36.000Z,RT @LisaDNews: BREAKING: @LeaderMcConnell has won his reelection to top spot for Senate Republicans.,['1592942727674855424'],1592942727674855424,789397585,en,
2022-11-16T17:55:09.000Z,"RT @mkraju: Sen. Ron Johnson said he's not voting to advance the same-sex marriage legislation today, per @DaniellaMicaela. Procedural vote…",['1592939343714189312'],1592939343714189312,789397585,en,
2022-11-16T13:19:40.000Z,RT @ProManimalUnity: https://t.co/tYOAVC2zU4,['1592870014310551557'],1592870014310551557,789397585,zxx,
2022-11-16T03:33:30.000Z,"RT @NRO: A firm, unmistakable, No.

https://t.co/BqgNZEE5Ni https://t.co/ryoh9YWPdY",['1592722503629406209'],1592722503629406209,789397585,en,
2022-11-16T03:00:45.000Z,RT @MSNBC: BREAKING: Former President Trump launches campaign for president in 2024. https://t.co/pUMI3zMIW1 https://t.co/0zk7HswOAB,['1592714260798668801'],1592714260798668801,789397585,en,
2022-11-16T03:00:13.000Z,"RT @NEWSMAX: BREAKING: Donald Trump, 45th President of the United States, has officially announced another run for the White House in 2024.…",['1592714125645582338'],1592714125645582338,789397585,en,
2022-11-16T02:59:54.000Z,RT @FoxNews: BREAKING NEWS: Donald Trump announces 2024 re-election run for president https://t.co/NgPMDJ0NCL,['1592714044422893570'],1592714044422893570,789397585,en,
2022-11-16T02:59:24.000Z,"RT @CNN: JUST IN: Former President Donald Trump announces another run for the White House and enters the 2024 race, aiming to become only t…",['1592713921567535104'],1592713921567535104,789397585,en,
2022-11-16T02:33:14.000Z,RT @cbouzy: Donald Trump announcing he is running for president before the Georgia runoff will hurt Herschel Walker.,['1592707336707395584'],1592707336707395584,789397585,en,
2022-11-16T02:09:14.000Z,Now that's a headline. https://t.co/beixJx6xbd,['1592701295185788930'],1592701295185788930,789397585,en,
2022-11-16T00:51:23.000Z,"RT @KevinLevin: Apparently, fifth graders in Virginia will be able to study westward expansion in the early nineteenth century without once…",['1592681702367055872'],1592681702367055872,789397585,en,
2022-11-16T00:44:59.000Z,RT @UncapTheHouse: Make the House of Representatives actually representative challenge (impossible since 1929),['1592680095311106053'],1592680095311106053,789397585,en,
2022-11-15T23:54:00.000Z,"RT @Politics_Polls: BREAKING Republicans have won a majority in the U.S. House

@DecisionDeskHQ projects https://t.co/jQKpfblJXX",['1592667263462952960'],1592667263462952960,789397585,en,
2022-11-15T22:02:11.000Z,"RT @MorePerfectUS: BREAKING: Oregon is the first state to make health care a constitutional right.

Voters passed Ballot Measure 111, givin…",['1592639121867960320'],1592639121867960320,789397585,en,
2022-11-15T22:00:17.000Z,RT @mkraju: Sen. Rick Scott and GOP Leader Mitch McConnell engaged in a tense back-and-forth where they criticized each other as the two me…,['1592638644581322752'],1592638644581322752,789397585,en,
2022-11-15T20:18:26.000Z,RT @DanRShafer: Ron Johnson threw a tantrum the morning after the election when networks hadn't called his race (they did by ~10:30am). Rad…,['1592613014686998529'],1592613014686998529,789397585,en,
2022-11-15T19:20:17.000Z,"RT @mkraju: He will need 218 in January to be speaker. For context, Pelosi was nominated in 2018 by a 203-32 vote. 
And Paul Ryan won in 20…",['1592598380207013889'],1592598380207013889,789397585,en,
2022-11-15T19:20:08.000Z,"RT @mkraju: 188-31, Kevin McCarthy wins GOP nomination for speaker, per sources",['1592598342449917952'],1592598342449917952,789397585,en,
2022-11-15T18:56:43.000Z,"RT @JakeSherman: VOTING HAS BEGUN on speaker

MCCARTHY vs. BIGGS",['1592592449599582208'],1592592449599582208,789397585,en,
2022-11-15T18:56:30.000Z,RT @MollyBeck: News:,['1592592393257517057'],1592592393257517057,789397585,en,
2022-11-15T18:51:00.000Z,Excited for tomorrow! https://t.co/bvK9QOnIsi,['1592591010642956288'],1592591010642956288,789397585,en,
2022-11-15T18:43:21.000Z,"RT @oneunderscore__: I am blocked by a man named CatTurd2 on the internet, making it considerably harder for me to figure out the business…",['1592589084274610176'],1592589084274610176,789397585,en,
2022-11-15T18:06:47.000Z,Election deniers are actually conceding in '22. Will Kari Lake? https://t.co/Z27rKsANEx,['1592579883640635392'],1592579883640635392,789397585,en,
2022-11-15T17:58:13.000Z,"RT @LisaDNews: SCHUMER: ""If Republicans continue to embrace MAGA radicalism, they are going to keep losing.""

Which is what many in GOP in…",['1592577725864108032'],1592577725864108032,789397585,en,
2022-11-15T15:21:43.000Z,RT @Redistrict: The #AZGOV outcome is the exclamation point on how badly MAGA enthusiasts bombed last week - costing Rs eminently winnable…,['1592538344558583810'],1592538344558583810,789397585,en,
2022-11-15T15:00:34.000Z,"RT @ClintSmithIII: I’ve spent the past year visiting memorials, monuments, and museums in Germany, exploring how that country remembers the…",['1592533022209093632'],1592533022209093632,789397585,en,
2022-11-15T12:18:47.000Z,"RT @cbouzy: New: Inauthentic accounts we monitor are spamming ""do not concede."" They are spreading conspiracy theories about Democrats chea…",['1592492308053696512'],1592492308053696512,789397585,en,
2022-11-15T12:00:34.000Z,"RT @LisaDNews: BREAKING. The Associated Press has called the AZ gubernatorial race for Democrat Katie Hobb.

This means all but one electio…",['1592487720676642816'],1592487720676642816,789397585,en,
2022-11-15T10:47:22.000Z,RT @david_j_roth: My sources are telling me that Kyrsten Sinema is being considered for immediate appointment as the US Ambassador to Wines…,['1592469300874739712'],1592469300874739712,789397585,en,
2022-11-15T04:04:46.000Z,"RT @Nate_Cohn: Republicans are on the cusp of winning a House majority after winning N.Y. 22, Calif. 41 and Calif. 45, according to the AP.…",['1592367982331633664'],1592367982331633664,789397585,en,
