text,edit_history_tweet_ids,author_id,geo,created_at,id,lang
Un footeux argentin de 16 ans est vraiment capable d'écrire cela ? https://t.co/iNTten5aHR,['1596982690632601600'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-27T21:41:58.000Z,1596982690632601600,fr
"RT @mishadavinci: PLATOONING - a driving technique where autonomous vehicles follow each other on the highway.

By closely following each o…",['1596961845365346305'],2850879477,,2022-11-27T20:19:08.000Z,1596961845365346305,en
"Joli feu de joie. 
Il faisait sûrement trop froid. https://t.co/21xAUMf6fl",['1596957382852345857'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-27T20:01:24.000Z,1596957382852345857,fr
@peumieufer @ialvarezd @mediterranedu Bienvenue à elle !,['1596946500046950400'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-27T19:18:10.000Z,1596946500046950400,fr
Le roi https://t.co/dj6o1BzthH,['1596842724283797505'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-27T12:25:48.000Z,1596842724283797505,fr
Sauf Xavi quoi... https://t.co/1dM6NyuYwg,['1596818479218192384'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-27T10:49:27.000Z,1596818479218192384,fr
"RT @gerebit0: En esta vida eres lo que haces con lo que te pasa. Y Luis Enrique eligió sonreír, a pesar de la adversidad. La decisión más d…",['1596797577256919047'],2850879477,,2022-11-27T09:26:24.000Z,1596797577256919047,es
"RT @MnkeDaniel: As an investor, you NEED to know how to read an Annual Report (10-K).

But they often have hundreds of pages and seem way t…",['1596782746893832192'],2850879477,,2022-11-27T08:27:28.000Z,1596782746893832192,en
"RT @ActuFoot_: À chaque fois qu'elle a battu le Danemark au premier tour d'une compétition internationale, l'équipe de France a remporté la…",['1596704987500904448'],2850879477,,2022-11-27T03:18:29.000Z,1596704987500904448,fr
"RT @FluentInFinance: I've been hired by Goldman Sachs, JP Morgan Asset Management and Citi to name a few. Here are 10 commonly asked interv…",['1596661868567068673'],2850879477,,2022-11-27T00:27:08.000Z,1596661868567068673,en
"@blvm__ @saiyamatth @LaTotaUnchained Ma pensée c'est que les viols sont plus nombreux dans les sociétés/pays où la frustration sexuelle est plus grande. De part la culture qui y règne

Je l'assume totalement, sale idiot. 
Mais tu défends incroyablement le Qatar dis donc. Tu y vis, tu es Qatari ?",['1596040143244230657'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-25T07:16:37.000Z,1596040143244230657,fr
"Jdbffbrbfbfnfnrnrnrgntg

Oh les demeurés exceptionnels 😂

@peumieufer @randyassala https://t.co/EHSrLWYtx8",['1595779515795611650'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-24T14:00:59.000Z,1595779515795611650,fr
"@blvm__ @saiyamatth @LaTotaUnchained Le risque de viols me semble plus fort dans certains pays comme l'Égypte qu'au Portugal

Puis en France on peut parler des endroits où ils ont lieu aussi 🙂",['1595754099907198978'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-24T12:19:59.000Z,1595754099907198978,fr
"RT @thisisgrantlee: I've seen 10,000+ resumes in my career, and 99% of them suck.

Here are 5 tips that will instantly transform your resum…",['1595693174038593536'],2850879477,,2022-11-24T08:17:53.000Z,1595693174038593536,en
"@randyassala Ce type avait compilé toutes les disquettes possibles pour en faire un TUBE

De l'art.",['1595552329780133889'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T22:58:14.000Z,1595552329780133889,fr
@saiyamatth @LaTotaUnchained On y vit pas trop mal,['1595549884744089600'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T22:48:31.000Z,1595549884744089600,fr
"@LaTotaUnchained Ils construisent les mêmes bâtiments aussi. Des grands discours de monde multipolaires pour au final reconstruire Manhattan et accueillir des bases militaires américaines.

Nan ils sont trop drôles.",['1595547210292273167'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T22:37:53.000Z,1595547210292273167,fr
"@saiyamatth @LaTotaUnchained Un truc tout simple comme : bah choisir la personne avec qui tu vas faire ta vie car tu l'aimes.

Tu ne crois pas que ça peut rendre un peu + heureux par exemple ?",['1595542195427221512'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T22:17:57.000Z,1595542195427221512,fr
"@luxmundi__ Il y a quand même de bonne manière d'optimiser son brut. 
Et parfois tu peux le faire bien mieux que sur un salaire équivalent",['1595523185251868694'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T21:02:25.000Z,1595523185251868694,fr
"@LaTotaUnchained @SosoLaBavure Faut pas qu'on se laisse influencer par le microcosme Twitter, Michael. 

Mais oui, un retour du conservatisme moral serait dans la logique des cycles. Et ça commence à se faire sentir.",['1595520453484974080'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T20:51:34.000Z,1595520453484974080,fr
@luxmundi__ Faut vite basculer sur d'autres formes juridiques,['1595518982735683584'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T20:45:43.000Z,1595518982735683584,fr
"@SosoLaBavure @LaTotaUnchained Et ce n'est pas l'exemple d'une blague de beauf qui fera pencher la balance 

Non mais sérieusement 😂",['1595518112853622787'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T20:42:16.000Z,1595518112853622787,fr
"@SosoLaBavure @LaTotaUnchained Autres systèmes qui montrent leurs limites aussi

Femmes adultères lapidées, ou pouvant se faire violer à tout moment au Caire si elles ont le malheur d'être blondes et non couvertes. 
C'est ÇA la réalité de la femme dans cette région. Pas les épouses de millionnaire sous tuteur",['1595517934730108928'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T20:41:33.000Z,1595517934730108928,fr
@mitotis10 Oui mais dirigés par un GÉNÉRAL,['1595505959836815360'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T19:53:58.000Z,1595505959836815360,fr
Ce genre de coach s'impose naturellement devant un vestiaire. https://t.co/908DleMma1,['1595501383897460736'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T19:35:47.000Z,1595501383897460736,fr
Reviens je t'en supplie https://t.co/As8Or5ZMBv,['1595473353216868352'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T17:44:24.000Z,1595473353216868352,fr
"@mediterranedu Émouvant, non ?",['1595472157093818368'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T17:39:39.000Z,1595472157093818368,fr
"Jfnfnggngkrkrntnhngn
Le but du siècle

Balde-Gavi nos enfants bordel 😭❤️❤️",['1595472080157409280'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T17:39:21.000Z,1595472080157409280,fr
RT @___Sofiane: Luis Enrique met les joueurs du Barça dans un meilleur contexte collectif que l’entraîneur du Barça. Et il les a 4 fois dan…,['1595470227432783878'],2850879477,,2022-11-23T17:31:59.000Z,1595470227432783878,fr
"RT @barcapassionat: FERRAN ENGRANGE

📊15e but en sélection pour Ferran, auteur d’un doublé
📈Le jeune attaquant de 22 ans entre dans le Top…",['1595470184755625986'],2850879477,,2022-11-23T17:31:49.000Z,1595470184755625986,fr
Bien peur que Lucho soit le coach du millénaire 😍,['1595456530429739008'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T16:37:33.000Z,1595456530429739008,fr
"@mitotis10 Ça dépend de ta ligne

Paris reste un enfer à ce sujet",['1595412584445911042'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-23T13:42:56.000Z,1595412584445911042,fr
"@peumieufer Il a passé de super vacances à Oman donc faut sucer tout le monde arabe, tu comprends 

(Le pays voisin se fait génocider par tous les autres)",['1595121025200852992'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-22T18:24:22.000Z,1595121025200852992,fr
"En roue libre lui, et un peu obsédé https://t.co/Q8mR19NiHJ",['1595031532099735558'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-22T12:28:46.000Z,1595031532099735558,fr
@mediterranedu Je viens de dormir 4h... 💀,['1594963092630282240'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-22T07:56:48.000Z,1594963092630282240,fr
RT @JackGrealish: For you Finlay ❤️ https://t.co/BomJEA0oy6,['1594962985948426241'],2850879477,,2022-11-22T07:56:23.000Z,1594962985948426241,en
@mediterranedu Un réveil ? Pour 11h ?,['1594878716798173184'],2850879477,{'place_id': '1a27537478dd8e38'},2022-11-22T02:21:32.000Z,1594878716798173184,fr
"RT @Leclerc_MEL: Les hausses qu'on nous demande pour 2023 : 
- Conserves de légumes : +17,74%
- Conserves de fruits : +20,55%
- Café : +10,…",['1594822109125124116'],2850879477,,2022-11-21T22:36:35.000Z,1594822109125124116,fr
