,user_id,location
0,"[""435461591',""]",
1,"[""732029470278844417',""]","22 hfx',"
2,"[""1085254685357858817',""]",
3,"[""1283310445097635840',""]",
4,"[""1368512869',""]",
5,"[""1587737316990205952',""]",
6,"[""1587123926022656000',""]",
7,"[""301782074',""]",Inside life
8,"[""881708118903726080',""]",New South Wales
9,"[""424753040',""]","port land he/him',"
10,"[""38492601',""]","Shefford, England',"
11,"[""1235784275091509250',""]",
12,"[""1551682577643307009',""]","Blue Ball, PA',"
13,"[""439927467',""]","Lagos, Nigeria',"
14,"[""722190814286372864',""]","Atlanta',"
15,"[""845031198678233089',""]","Somewhere',"
16,"[""1538931375759364098',""]","Wirral, UK',"
17,"[""1587956661054050305',""]","USA',"
18,"[""1548819783772160002',""]","(17) you put me on and said I was your favorite….  bunny, doll-hearted angel made with fairy dust. jackson’s in my arms with our cat 𖬺 baby’s."
19,"[""1059295910',""]",
20,"[""401443455',""]","London',"
21,"[""5614412',""]","Chapel Perilous',"
22,"[""1177291960874405889',""]","Milwaukee, WI',"
23,"[""36067096',""]","Montreal',"
24,"[""1589755132061028353',""]",
25,"[""1582367752588873728',""]",
26,"[""420827328',""]","Middle of Nowhere',"
27,"[""1583084815',""]",
28,"[""1654470536',""]",
29,"[""42777973',""]","California, USA',"
30,"[""1585317361330126853',""]","F15. petris only gf. 🇫🇮',"
31,"[""1501312189969301509',""]",
32,"[""1287969548931493888',""]",
33,"[""1181221853794308100',""]",
34,"[""983165055582769152',""]",
35,"[""88114649',""]","My Own World',"
36,"[""14342200',""]","Darlington',"
37,"[""1679661613',""]",Jersey
38,"[""3294058415',""]","Accra, Ghana',"
39,"[""1575290366709964801',""]","Havana',"
40,"[""1286012795356684294',""]","A Glass of the Finest',"
41,"[""496557454',""]",
42,"[""1579568959573135377',""]","Österreich',"
43,"[""67467684',""]","Salt Lake City, UT',"
44,"[""50784667',""]","Surrey',"
45,"[""931986728914751489',""]",
46,"[""1271223433553207296',""]","32counties of Ireland',"
47,"[""943115069558329345',""]","Islamic Republic of Iran',"
48,"[""895017030297964544',""]",
49,"[""1518756470384386052',""]",
50,"[""1195526787389890561',""]",
51,"[""707265303512784897',""]","Accra, Ghana',"
52,"[""4615395863',""]","Baltimore, MD',"
53,"[""112789674',""]","Africa, Johannesburg',"
54,"[""1304099124875329536',""]",
55,"[""1112245138074595334',""]","southside',"
56,"[""1528933073206796288',""]",
57,"[""1398768914',""]","Milwaukee, WI',"
58,"[""1484554556910493696',""]","East Riding Of Yorkshire',"
59,"[""811648968899837954',""]","utopia',"
60,"[""485064670',""]","Bedfordshire, England',"
61,"[""2364766740',""]",Northern California
62,"[""1559575968892817408',""]",
63,"[""1587653999989125120',""]",
64,"[""828758732',""]","♥♣♠♦my room♥♣♠♦',"
65,"[""309605202',""]",
66,"[""1589934020343009280',""]",aki 20+ she/her
67,"[""3115275141',""]",UnderWorld
68,"[""1114712562',""]","Appalachian Trail',"
69,"[""861824129430831104',""]",
70,"[""29962253',""]",
71,"[""765315176',""]","Lagos, Nigeria',"
72,"[""47497573',""]",
73,"[""879711683962437636',""]","Mpumalanga,Nelspruit"
74,"[""731416927',""]","Cymru - Wales',"
75,"[""3377811017',""]",
76,"[""2831146277',""]","apha naphaya',"
77,"[""1000595859178835968',""]","Lake Tapps, WA',"
78,"[""2975079980',""]",
79,"[""977619834',""]","San Francisco',"
80,"[""1077464870424072192',""]",suffering
81,"[""1942775803',""]","Missoula, MT',"
82,"[""1242217249982701569',""]",farm
83,"[""1082340050862571522',""]","England, United Kingdom',"
84,"[""739143990499364864',""]","Jamaica🇯🇲',"
85,"[""768664173744103424',""]","Multan, Pakistan',"
86,"[""1435517752090009600',""]",
87,"[""1578600175161180162',""]","Thaïlande',"
88,"[""1159605186064715776',""]",
89,"[""744368337732272128',""]","Ingleside, San Francisco',"
90,"[""381675481',""]","404',"
91,"[""791032747',""]",
92,"[""1118399214',""]","Abuja, Nigeria',"
93,"[""62764316',""]","Here, there & everywhere',"
94,"[""16545084',""]","Washington, D.C.',"
95,"[""1508350184773799942',""]","Puff Valley, Solana',"
96,"[""913106528852484104',""]",
97,"[""2283452494',""]","Lost',"
98,"[""1301681300403900416',""]",
99,"[""937756066221379585',""]","Kensington, London',"
