user_id,location,Country,State,City
4658231920," Argentina',",Argentina,,
28190020," Buenos Aires',",Argentina,,
775321488484290560," India',",India,,
1470964371094339584," Los Angeles',",USA,,
27164880,"(Southern Appalachia)',",USA,,
875111535517028357,"§207, Fraser Field, Lynn MA'}",USA,,
803322878590586881,"#508 & 🇧🇷ian',",Brazil,,
1127871272090779648,"#Nigeria',",Nigeria,,
1481485713749286912,"🇺🇸',",USA,,
334920737,"🇺🇸',",USA,,
939901806074912770,📍Islamabad /Chilas /Gilgit,Pakistan,,
12848262,"1 Yonge St., Toronto, Canada',",Canada,,
1031560902334664704,"2523 Avenue M Huntsville, TX',",USA,,
1271223433553207296,"32counties of Ireland',",Ireland,,
43887789,"44 South West st. Mt Vernon Ny',",USA,,
273248888,"7Cities || Gboro || Arkansas',",USA,,
1709794771,"Aberdeen',",UK,,
844878248123117568,Abu Dhabi & Peshawar,UAE,,
229428955,Abuja,Nigeria,,
1118399214,"Abuja, Nigeria',",Nigeria,,
453880154,"Abuja, Nigeria',",Nigeria,,
1117369610,"Abuja, Nigeria',",Nigeria,,
1578431701788893184,"Abuja, Nigeria',",Nigeria,,
1182549516672753664,"Abuja, Nigeria',",Nigeria,,
1873520106,"Abuja, Nigeria'}",Nigeria,,
880551935102857217,Abuja.'},Nigeria,,
3294058415,"Accra, Ghana',",Ghana,,
707265303512784897,"Accra, Ghana',",Ghana,,
3182990685,"Accra, Ghana'}",Ghana,,
112789674,"Africa, Johannesburg',",South Africa,,
2863794265,"Ajmer, India',",India,,
1217401920450711554,Akwa Ibom,Nigeria,,
1096817984,"Alberta, Canada',",Canada,,
1516607068618166275,"Alberta, Canada',",Canada,,
1482909633597505536,"Alberta, Canada',",Canada,,
1355326106623213574,"Albuquerque, NM'}",USA,,
2755098826,"Algarve, Portugal'}",Portugal,,
2978233930,Allemagne'},Germany,,
1589370708446089216,"Amelia island 🏝️🏝️ Florida',",USA,,
3408268205,"America',",USA,,
1059466831260344320,"Andhra Pradesh, India'}",India,,
1594279050347945984,"Angleterre, Royaume-Uni',",UK,,
918480689376518144,"Ankara, Türkiye',",Turkey,,
1519208355822141443,"Antioch, CA'}",USA,,
1405113252410015750,"Antwerp, Belgium',",Belgium,,
1114712562,"Appalachian Trail',",USA,,
833420755786412034,"Arad, România',",Romania,,
1292500579604996096,"Arcanine, Kentucky',",USA,,
4122416554,"Argentina',",Argentina,,
3998419396,"Argentina',",Argentina,,
2426931277,"Argentina',",Argentina,,
3226862156,"Argentine',",Argentina,,
"114665434'}""]","Arizona, USA',",USA,,
1323363032806772736,"Arizona, USA',",USA,,
720365641216098307,"Arizona, USA',",USA,,
1275123549766856704,"Arkansas, USA',",USA,,
336651276,"Athens, GA',",USA,,
16273131,"Athens, GA',",USA,,
1590242461426802688,"Athens, Greece',",Greece,,
954411477145980929,"Atlanta, GA',",USA,,
91650974,"Atlanta, GA',",USA,,
1539592740341747712,"Atlanta, GA',",USA,,
1639727750,"Atlanta, GA'}",USA,,
874538053188059137,"Atlanta, GA'}",USA,,
536804517,"Atlanta, GA'}",USA,,
1019296309,"Atlanta, Georgia',",USA,,
722190814286372864,"Atlanta',",USA,,
455118725,"Atlanta',",USA,,
841728096231395328,"Atlantic Canada',",Canada,,
185187473,"Auckland, New Zealand'}",New Zealand,,
"1233929232432205827'}""]","Austin, TX',",USA,,
739502431189405697,"Austin, TX',",USA,,
"14338338'}""]","Austin, TX',",USA,,
43326457,"Austin, TX',",USA,,
2551330513,"Austin, TX',",USA,,
260930773,"Australia',",Austalia,,
404670731,"Australia',",Austalia,,
1259816940844937217,"Australia',",Austalia,,
22594747,"Australia',",Austalia,,
1015426782,"Ayr, Scotland',",UK,,
864272400,"Azad Kashmir',",Pakistan,,
88462663,"Bailiwick of Jersey',",UK,,
4615395863,"Baltimore, MD',",USA,,
1452758113,"Baltimore, MD',",USA,,
15927181,"Baltimore, MD',",USA,,
30198595,"Baltimore,MD',",USA,,
519146954,"Baltimore',",USA,,
1319289352623513603,"Bangor, Wales',",UK,,
2850879477,"Barcelone, Espagne',",Spain,,
162866127,"Barnsley, England',",UK,,
1585725524458237952,"Bathurst NSW.',",Austalia,,
1112715843639656448,"Bauchi, Nigeria',",Nigeria,,
760477413176250368,"BAY AREA, CA NorCal',",USA,,
"1544386752'}""]","bay area',",USA,,
1444650182767902724,"BC Canada',",Canada,,
485064670,"Bedfordshire, England',",UK,,
820464967,"belgium',",Belgium,,
189554997,"Bengaluru South, India',",India,,
1716610758,"Bengaluru, India',",India,,
1208978765826666498,"Benin-City, Nigeria',",Nigeria,,
322874617,"Berkeley, CA #CA13  #AD15',",USA,,
396773698,"Berlin, Allemagne',",Germany,,
1003736769777553409,"Berlin, Allemagne'}",Germany,,
155617683,"Berlin',",Germany,,
"1548058612639023104'}""]","beyazıt',",Turkey,,
1461204518968823808,"Bhutan',",Bhutan,,
1540686967263961088,"Bihar, India',",India,,
1507411352943734784,"Bihar, India'}",India,,
192732053,"Birmingham, England',",UK,,
3632161,"Bisbee, AZ',",USA,,
1551682577643307009,"Blue Ball, PA',",USA,,
1034262957893595137,"Bogalusa, LA',",USA,,
553458508,"Bolton, England',",UK,,
3238426689,"Borno, Nigeria',",Nigeria,,
85612050,"Boston, MA',",USA,,
9973392,"Boulder, CO',",USA,,
82639651,"Boulogne-Billancourt, France',",France,,
"415801010'}""]","Bournemouth, England',",UK,,
1019253416,"Bracknell, England',",UK,,
1059345084909568000,"Brasília, Brasil',",Brazil,,
1416853664661127170,"Brentwood, NY',",USA,,
1031499956413067264,"Brighton, England',",UK,,
16316886,"Brighton, UK',",UK,,
1300674916652470273,"Brisbane, Queensland',",Austalia,,
"87259041'}""]","Bristol, UK',",UK,,
467357552,"Bristol, UK',",UK,,
1394032499446140933,"Brno, Česká republika'}",Czech Republic,,
1233477560027230212,"Brno, Czech Republic'}",Czech Republic,,
1278053956330180608,"Bronx, NY'}",USA,,
276198138,"Brooklyn, NY',",USA,,
50878547,"Brooklyn, NY',",USA,,
1348635828889804804,"Brooklyn, NY'}",USA,,
1374763877838163970,Brunei'},Brunei,,
1337543383800229892,"Budapest, Hongrie',",Hungary,,
612137401,"Buenos Aires, Argentina',",Argentina,,
1006207993699098624,"Buenos Aires, Argentine'}",Argentina,,
161523735,Buffalo ny,USA,,
1346260764999475203,"Buies Creek, NC',",USA,,
198831061,"Bulawayo, Zimbabwe',",Zimbabwe,,
902967413322469377,"Bulgaria',",Bulgaria,,
540465387,"Burlington. Ontario.',",Canada,,
1249419530444537856,"Burnaby, BC Canada'}",Canada,,
3364185674,"Butte, America",USA,,
696845336082427904,"CA',",USA,,
231206271,"CA',",USA,,
68820341,"Caddebostan, Istanbul',",Turkey,,
16168622,"Calgary, Alberta',",Canada,,
253180602,"calgary',",Canada,,
526101087,"California Republic',",USA,,
42777973,"California, USA',",USA,,
897895526720446465,"California, USA',",USA,,
21992362,"California, USA',",USA,,
1486931010,"California, USA',",USA,,
4009266073,"California, USA',",USA,,
30662589,"California, USA',",USA,,
1037991553011204096,"California, USA',",USA,,
1358690008517865473,"California, USA',",USA,,
216089656,"California, USA',",USA,,
