,0
0,0.518579
1,0.5200564
2,0.6306769
3,0.56097686
4,0.58477414
5,0.6087166
6,0.5148659
7,0.5582293
8,0.58750445
9,0.6193057
10,0.5462365
11,0.60938287
12,0.5497073
13,0.59602225
14,0.59578735
15,0.58600605
16,0.6267477
17,0.5537287
18,0.58800274
19,0.6146867
20,0.66010666
21,0.53506136
22,0.54587036
23,0.57405514
24,0.6070324
25,0.5512088
26,0.5642129
27,0.57427037
28,0.6029853
29,0.54466754
30,0.58063227
31,0.540478
32,0.53952485
33,0.5287145
34,0.5239935
35,0.60830724
36,0.7072996
37,0.68568224
38,0.6530745
39,0.6022443
40,0.5371408
41,0.6033773
42,0.88202375
43,0.5845195
44,0.5411784
45,0.598593
46,0.5625465
47,0.5781645
48,0.57321346
49,0.4644715
50,0.54470825
51,0.6558943
52,0.531855
53,0.58110756
54,0.5397034
55,0.5685656
56,0.57593083
57,0.5310337
58,0.5930323
59,0.6573108
60,0.53282744
61,0.5246292
62,0.631615
63,0.6704421
64,0.56633276
65,0.5754638
66,0.5753093
67,0.5968214
68,0.6346127
69,0.56723136
70,0.5652732
71,0.6052431
72,0.60632104
73,0.6168104
74,0.5845265
75,0.55897206
76,0.6851004
77,0.4840905
78,0.55020916
79,0.59771115
80,0.60450655
81,0.68219084
82,0.5914384
83,0.5532247
84,0.56525207
85,0.6067713
86,0.5542455
87,0.66638196
88,0.6052051
89,0.5720605
90,0.61647743
91,0.5543717
92,0.4814596
93,0.63413185
94,0.61579114
95,0.5443047
96,0.5933505
97,0.5846429
98,0.51015204
99,0.63706386
100,0.6896224
101,0.65317225
102,0.6230917
103,0.5788816
104,0.68440366
105,0.6013379
106,0.5452858
107,0.5632256
108,0.56708574
109,0.64463377
110,0.6322738
111,0.53086513
112,0.5631613
113,0.57056
114,0.5097283
115,0.68695605
116,0.5005407
117,0.5670746
118,0.62622297
119,0.5415239
120,0.62407804
121,0.5776247
122,0.56501263
123,0.66901445
124,0.5524629
125,0.6218013
126,0.5342356
127,0.5293908
128,0.5739701
129,0.535819
130,0.62026125
131,0.5648827
132,0.51939243
133,0.6087506
134,0.5751186
135,0.55655396
136,0.53381777
137,0.68695605
138,0.52280045
139,0.5877942
140,0.59591204
141,0.52568996
142,0.55189
143,0.61782974
144,0.5187004
145,0.6291094
146,0.5755857
147,0.64823157
148,0.6238703
149,0.5109333
150,0.5979322
151,0.5525093
152,0.5538391
153,0.59187907
154,0.59753674
155,0.5515633
156,0.5427216
157,0.511599
158,0.6101728
159,0.47137237
160,0.65391415
161,0.5751372
162,0.53666687
163,0.5874426
164,0.5946978
165,0.7271155
166,0.5362232
167,0.47707763
168,0.68713695
169,0.6223945
170,0.56144595
171,0.551517
172,0.5772015
173,0.5906063
174,0.6271646
175,0.67644876
176,0.61923045
177,0.689781
178,0.6600626
179,0.6306603
180,0.58291864
181,0.6179733
182,0.56705666
183,0.53343534
184,0.6205354
185,0.6247773
186,0.5945124
187,0.6625327
188,0.67785347
189,0.69602406
190,0.5632022
191,0.5825439
192,0.5886384
193,0.53785306
194,0.67381555
195,0.5712953
196,0.51858383
197,0.5916635
198,0.53463405
199,0.58584213
200,0.54622096
201,0.5577873
202,0.5455436
203,0.59034586
204,0.62783366
205,0.5964013
206,0.5336099
207,0.5537566
208,0.586062
209,0.60863525
210,0.5904707
211,0.6233725
212,0.5775453
213,0.5787356
214,0.52623445
215,0.6118264
216,0.56932026
217,0.5888987
218,0.5483881
219,0.60861063
220,0.55943704
221,0.53388053
222,0.58165294
223,0.6460046
224,0.56539816
225,0.5784583
226,0.6899537
227,0.5678508
228,0.548261
229,0.54593396
230,0.6419335
231,0.60066926
232,0.5727458
233,0.5177345
234,0.5445893
235,0.6019792
236,0.58817804
237,0.57585967
238,0.61526686
239,0.57137686
240,0.56861466
241,0.5462938
242,0.6554624
243,0.5528168
244,0.6501119
245,0.64366066
246,0.5489276
247,0.5426035
248,0.5458108
249,0.55413294
